Film,Director,urlmubi,Urlverification
Eres mi pasión/ El fútbol o yo,Anwar Safa,https://mubi.com/films/eres-mi-pasion,1
Ya veremos,Pitipol Ybarra,,
Este soy,Verónica Velasco  Epigmenio Ibarra,https://mubi.com/es/films/soy-libre-2021,0
Ánima,Kuno Becker,https://mubi.com/es/films/anima-2019,0
Masacre en Teques ,Rodrigo Hernández Cruz,,
Dulces tentaciones,Óscar Blancarte,,
Preludio a una siesta,Mariana H. Menchaca,,
La boda de la abuela,Javier Colinas,,
Hugo Sánchez,Francisco Javier Padilla,https://mubi.com/es/cast/hugo-sanchez,0
Semillas contra el despojo,María Antonieta de la Puente Díaz,https://mubi.com/films/seeds-against-dispossession,1
Sin origen,Rigoberto Castañeda,https://mubi.com/es/films/sin-origen,1
"Ok, está bien",Gabriela Ivette Sandoval Torres,https://mubi.com/es/films/ok-it-s-fine,1
Buscando al lobo (Finding the Werewolf),Rodrigo Iturralde Álvarez y Georgina González Rodríguez,https://mubi.com/es/lists/b-w-werewolves-1935-1963,0
Yo no estoy aquí,Fernando Frías,https://mubi.com/es/films/i-m-no-longer-here,1
Chicuarotes,Gael García Bernal,https://mubi.com/es/films/chicuarotes,1
Mano de obra,David Zonana,https://mubi.com/es/specials/jessica-sarah-rinland,0
Lucha de gigantes,Humberto Hinojosa,,
Los idealistas,Marcelo Tobar,https://mubi.com/es/films/el-club-de-los-idealistas,1
Esto no es Berlín (Invisible),Hari Sama,https://mubi.com/es/films/this-is-not-berlin,1
En las buenas y en las malas,Gabriel Barragán Sentíes,https://mubi.com/es/films/en-las-buenas-y-en-las-malas,1
Santuario,Joshua Gil,https://mubi.com/es/films/santuario,1
Cindy La Regia,Catalina Aguilar Mastretta,https://mubi.com/es/films/cindy-la-rega,1
Héroes de Chapultepec,Mauricio Sariñana,,
El gran salto,Jorge Porras,https://mubi.com/es/films/the-hudsucker-proxy,0
Chèche Lavi,Sam Ellison,https://mubi.com/es/films/looking-for-life,1
Doña Sabina Sombra,Oliver Victoria,https://mubi.com/es/films/maria-sabina-woman-of-the-spirit,0
Una leyenda punk,Inés Morales y Susana Quiroz,https://mubi.com/es/lists/punk-rock-movies,0
Huevitos en fuga,Gabriel Riva Palacio Alatriste y Rodolfo Riva Palacio Alatriste,https://mubi.com/es/films/fuga-2021,0
¿Y cómo es él?,Ariel Winograd,https://mubi.com/films/y-como-es-el,1
Cruz,Teresa Camou Guerrero,https://mubi.com/es/cast/ted-cruz,0
Dulce familia (Alitas),Nicolás López,https://mubi.com/es/specials/family,0
50 primeras citas / Como si fuera la primera vez,Mauricio Valle,https://mubi.com/es/films/50-first-dates,0
Corazón de mezquite,Ana Laura Calderón Montiel,https://mubi.com/es/films/mezquite-s-heart,1
México pelágico II (Mares de México),Jerónimo Prieto,https://mubi.com/es/lists/mexico--2,0
Cuestión de principios (Déjalo ir Let It Go),Marcos Almada,https://mubi.com/es/cast/roberto-fontanarrosa,0
El envoltorio sagrado,Julio Serrano Echeverría,https://mubi.com/es/films/the-sacred-spirit,0
Colozio,Artemio Narro,https://mubi.com/es/films/colozio,1
Sobre la estabilidad de los 3 cuerpos,Carlos Lenin,https://mubi.com/es/films/our-bodies-are-your-battlefields,0
La nave,Batán Silva,https://mubi.com/es/films/la-nave-2019,1
La cara oculta (Búnker),Jorge Michel Grau,https://mubi.com/es/films/the-hidden-face,0
No manches Frida 2,Nacho G. Velilla,https://mubi.com/es/films/no-manches-frida-2,1
¿Conoces a Tomás?,María Torres,https://mubi.com/es/films/this-is-tomas,1
Amores modernos,Matías Meyer,https://mubi.com/es/films/modern-loves,1
Chapita,Roberto Santis Hernández y Juan Julián Cruz Cruz,,
La caja,Lorenzo Vigas,https://mubi.com/es/films/the-box-2021-lorenzo-vigas,1
Los trapos sucios se lavan en casa,Diego Muñoz,,
Todas las pecas del mundo,Yibran Asuad,https://mubi.com/es/films/all-the-freckles-in-the-world,1
El emperador de Michoacán," ""James Ramey y Arturo Pimentel""",,
Selva trágica," ""Yulene Olaizola y Rubén Ímaz""",https://mubi.com/es/films/selva-tragica,1
"Veinteañera, divorciada y fantástica",Noé Santillán-López,,
Heredera del viento,Gloria Carrión Fonseca,https://mubi.com/es/films/inherit-the-wind,0
Sin miedo,Claudio Zulian,https://mubi.com/es/films/fearless,0
El mito en la oscuridad,Carlos Israel Ávila,https://mubi.com/es/lists/and-you-will-face-the-sea-of-darkness-my-50-favorite-horror-movies,0
Eliades Ochoa From Cuba to the World,Rubén Gómez y Cynthia Biestek,https://mubi.com/es/films/eliades-ochoa-from-cuba-to-the-world,1
Xotal,Lauri Saksa,https://mubi.com/es/cast/luc-moullet,0
 Nikté-Ha. Viaje al mundo del agua maya, Joy Penroz,,
El secreto de la belleza. Pueblo en defensa de la tierra,Néstor A. Jiménez Díaz,https://mubi.com/es/films/mariner-of-the-mountains,1
 Dos Fridas Ishtar Yasin,,https://mubi.com/es/films/two-fridas,1
Tierra mía,Pedro González-Rubio,https://mubi.com/es/films/terra-mia-terra-nostra,0
 Pamparios, Florian Seufert,https://mubi.com/es/films/pamparios,1
Ya me voy (I'm Leaving Now),"Lindsey Cordero,Armando Croda Naveda",https://mubi.com/es/films/i-m-leaving-now,1
 Las noches invisibles, Alejandra Aragón,https://mubi.com/es/awards-and-festivals/cannes?year=2021,0
 Yo no soy guapo, Joyce García,https://mubi.com/es/films/i-am-not-handsome,1
Los débiles,"Raúl Rico González,Eduardo Giralt Brun",https://mubi.com/es/films/the-foxes-of-harrow,0
 Niebla de culpa, Francisco Laresgoiti,https://mubi.com/films/mist-of-guilt,1
Mi hermano,Alana Simões,https://mubi.com/es/films/mi-hermano,1
 Vatreni, Edson Ramírez,https://mubi.com/es/films/vatreni,1
Fausto,Andrea Bussmann,https://mubi.com/es/films/faust-2018,1
 La otra revolución, Mario Corona Payán,https://mubi.com/es/films/the-other-one-1946,0
Sangre nuestra,Adolfo López Campaña,https://mubi.com/es/films/sangre,0
" Tuya, mía... te la apuesto(Pena máxima)",Rodrigo Triana,https://mubi.com/es/films/tuya-mia-te-la-apuesto,1
El expediente Atlimeyaya,Hugo Vivar,,
Como novio de pueblo (Primos),Joe Rendón,,
Esta película la hice pensando en ti, Pepe Gutiérrez García,https://mubi.com/es/films/i-made-this-movie-thinking-of-you,1
Olimpia,José Manuel Cravioto,https://mubi.com/es/films/olimpia,1
Mano de metate," ""Eugenia Varela y Bruno Varela""",https://mubi.com/es/films/grindstone-hand,1
Rencor tatuado,Julián Hernández,https://mubi.com/es/films/tattoo-of-revenge,1
Sacúdete las penas, Andrés Ibáñez Díaz Infante,,
Niños asesinos,Ricardo Tavera,https://mubi.com/es/films/murderous-children,1
La distancia, Ricardo A. Martínez,https://mubi.com/es/films/the-distance,0
Gracias por ser mi amigo,José Gerardo,https://mubi.com/es/films/where-is-the-friends-home,0
Mamacita, José Pablo Estrada Torrescano,https://mubi.com/es/films/mamacita,1
Piérdete entre los muertos, Rubén Gutiérrez,https://mubi.com/es/films/drown-among-the-dead,1
ONI,"Christine Minnick, Laura Trejo,Mercedes Aldao",https://mubi.com/es/films/oni,0
M-1, Luciano Pérez Savoy,https://mubi.com/es/films/m-1,1
Alejandra o la inocencia de Vlady,Fabiana Medina,,
No se mata la verdad, Coizta Grecko B.,https://mubi.com/es,0
Perfectos desconocidos,Manolo Caro,https://mubi.com/es/films/perfect-strangers-2017,0
Cuatro Ciénegas, David Jaramillo,,
Chivas. La película,"Iván López-Barba,Rubén R. Bañuelos",https://mubi.com/es/cast/chivas-devinck,0
Espejos de piedra," ""Ana Mary Ramos y Juan Barreda""",https://mubi.com/es/films/the-witchs-mirror,0
Titixe,Tania Hernández Velasco,https://mubi.com/es/films/titixe,1
Marc Monster & The Olives In Situ, Osiris Luciano,,
Identidad puma,Pavel Inuit Arévalo,,
Antígona, Pedro González-Rubio,https://mubi.com/es/films/antigone-2018,1
Patrimonio,"Lisa F. Jackson, Sarah Teale",https://mubi.com/films/patrimonio,1
M, Eva Villaseñor,https://mubi.com/es/films/m,0
El pueblo soy yo. Venezuela en populismo,Carlos Oteyza,https://mubi.com/es/films/i-am-the-people-venezuela-under-populism,1
Lo mejor que puedes hacer con tu vida (The Best Thing You Can Do With Your Life),Zita Erffa,https://mubi.com/es/films/the-best-thing-you-can-do-with-your-life,1
Cigüeñas,Heriberto Acosta,https://mubi.com/es/films/the-cranes-are-flying,0
Tiempo de lluvia, Itandehui Jansen,https://mubi.com/es/films/tiempo-de-lluvia,1
Desde tu infierno,Alexis Pérez Montero,https://mubi.com/es/films/desde-tu-infierno,1
Adam, Maria Solrun,https://mubi.com/es/films/adam-2019-maryam-touzani,0
La Revolución y los artistas,Gabriel Retes,,
Balón al aire, Gabriel Mariño,https://mubi.com/es/films/ballon,0
Calypso. Los niños del éxodo,Wilma Gómez Luengo,,
Canciones de amor y desprecio,Ana Bárcenas Torres,https://mubi.com/es/films/love-songs/ratings,0
La vida suspendida de Harley Prosper, Juan Manuel Sepúlveda,https://mubi.com/es/films/the-still-life-of-harley-prosper,1
Torre x torre (Torre),"Roberto Garza, Juan Luis Obregón",https://mubi.com/es/films/torre-x-torre,1
Enrique González Pedrero, Emilio Cárdenas Elorduy,,
La daga en el corazón(Un couteau dans le coeur),Yann González,https://mubi.com/es/films/knife-heart,1
¿Dónde estás?,Maricarmen Merino,https://mubi.com/es/films/where-d-you-go-bernadette,0
La visita,Ana Mancera,https://mubi.com/es/films/the-visit-2015-m-night-shyamalan,0
Más sabe el diablo por viejo (Problemas mayores),Pepe Bojórquez,,
Solteras,Luis Javier M. Henaine,https://mubi.com/es/films/solteras,1
Tramposos con suerte (Impostores), Joel Núñez,https://mubi.com/es/films/lets-do-it-again,0
Lo único que tengo,Diego L. Pedroza,https://mubi.com/es/about,0
Locura al aire," ""Alicia Cano y Leticia Cuba""",https://mubi.com/es/films/locura-al-aire,1
Las reglas del rey, Luis Romo ,,
Nosotros las piedras, Álvaro Torres,https://mubi.com/films/nosotros-las-piedras,1
El velorio (The Wake), Gustavo Arteaga,https://mubi.com/es/films/the-wake-1969,0
Hipnosis para ser feliz,Víctor Audiffred,https://mubi.com/es/films/hypnois-to-be-happy,1
Belmonte, Federico Veiroj,https://mubi.com/es/films/belmonte-2018,1
La muerte de un fotógrafo de modas,Gabriel Reyes,https://mubi.com/es/films/the-death-of-a-fashion-photographer,1
Acusada (Dolores), Gonzalo Tobal,https://mubi.com/es/films/dolores-2018,1
Antes de que nos entierren a todos,Miguel Estrada,,
Leona (Carne y leche), Isaac Cherem,https://mubi.com/es/films/leona,1
Water Lola,Miguel G. Catalán,,
Cofradía, Emilio Ramón Vidal,https://mubi.com/es/specials/cult-films,0
El suicidio,Pedro Pablo de Antuñano Padilla,https://mubi.com/es/lists/suicide-62685a31-591c-424a-9088-35124bc87970,0
El año de la plaga, Carlos Martín Ferrera,https://mubi.com/films/the-year-of-the-plague,1
1985. Héroes entre ruinas,Jeanette Russ Moreno,,
Land, Babak Jalali,https://mubi.com/es/films/land-2020,0
Me río. Colima,Iván Maracho Salcedo,,
Mi mariachi, Jorge Adrián Espíndola,,
Deriva,Andrei Maldonado,https://mubi.com/es/films/deriva,0
Disparos (Aprender a observar),Rodrigo Hernández y Elpidia Nikou,,
Banda,Carlos Armella,https://mubi.com/es/films/love-beats,0
Está todo bien, Tuki Jencquel,https://mubi.com/es/films/it-s-all-good-2018,1
"Mujer. Se va la vida, compañera",Mariana X. Rivera,,
Tritón, Arturo Villaseñor,https://mubi.com/es/films/triton,1
Un día de asalto,Diego Rúelas,https://mubi.com/es/films/the-assault-2010,0
Verte partir, Javi Huerta,,
La voz del silencio,Jorge Uruchurtu,https://mubi.com/es/films/the-voice-of-silence,1
El Monstruo. Relato de tres sicarios,Luis Carlos Davis,https://mubi.com/es/films/sicario-2015,0
El camino desierto. Historia de una película independiente,Alex Herrera Castillo,,
El corredor sin huellas,Sergio Gurrola,https://mubi.com/es/cast/john-matthews,0
Golpes duros,José Luis Palma,,
Bendito mercado,César García,,
La boda de mi mejor amigo,Celso García,https://mubi.com/es/films/la-boda-de-mi-mejor-amigo,1
Revueltas. La película,Antonio Jiménez,https://mubi.com/es/cast/jose-revueltas,0
Inocuo,Fernando Bourget,https://mubi.com/es/films/women-on-the-verge-of-a-nervous-breakdown/ratings?page=3,1
Crimen por omisión,Jaime Humberto Hermosillo ,https://mubi.com/es/films/crimen-por-omision,1
Diplodocus,Juan Pablo Rebollar,https://mubi.com/es/cast/john-randolph-bray,0
Murales viajeros por la paz La ecología y la equidad de Alejandro Quijano,Saudhi Batalla ,,
La reina del porno show,Sergio Pérez ,https://mubi.com/es/lists/relevant-porn-films,0
Ayac nican nemizAquí nadie vivirá para siempre,Carlos Altamirano,https://mubi.com/es/films/nobody-knows-i-m-here,1
MegalodemócrataEl arte público de Rafael Lozano-Hemmer ,Benjamin Duffield ,https://mubi.com/es/films/megalodemocrat-the-public-art-of-rafael-lozano-hemmer/cast,0
Internet Junkie,Alexander Katzowicz ,https://mubi.com/es/films/web-junkie,0
Fuego adentro (En lo alto del día),Jesús Mario Lozano,https://mubi.com/es/showing,0
Luna 3 (Lunik 3),Víctor Zavala Kugler ,,
La afinadora de árboles ,Natalia Smirnoff,https://mubi.com/es/films/la-afinadora-de-arboles,1
Días de invierno,Jaiziel Hernández Máynez ,https://mubi.com/es/films/dias-de-invierno,1
El deseo de Ana,Emilo Santoyo,https://mubi.com/es/films/ana-s-desire,1
Observar las aves,Andrea Martínez Crowther ,https://mubi.com/es/films/birdwatching-2019-andrea-martinez-crowther,1
No son horas de olvidar ,David Castañón,,
Mi no lugar,Isis Ahumada Monroy ,https://mubi.com/es,0
Ráfagas serranas,Dalia Reyes,,
Serpiente emplumada ,Ricky López Bruni,https://mubi.com/es/films/snake-in-the-eagles-shadow,0
Love Me Not,Lluís Miñarro,https://mubi.com/es/films/love-me-not-2017,0
La diosa del asfalto ,Julián Hernández,https://mubi.com/es/films/asphalt-goddess,1
Polvo,José María Yazpik ,https://mubi.com/es/films/dust-2012,0
Motel Acqua,Conrado Martínez ,,
Siete Filos,Antonio Coello,,
Divino amor,Gabriel Mascaro,https://mubi.com/es/films/divine-love,1
Frontera,Marcos Almada,https://mubi.com/es/films/frontera,0
#Mickey,Betzabé García ,https://mubi.com/es/cast/mickey,0
Después del incendio ,Sebastián Padilla ,https://mubi.com/es/films/incendies,0
Speedy,Rodolfo Castillo-Morales ,https://mubi.com/es/films/speedy,0
El paraíso de la serpiente ,Bernardo Arellano,https://mubi.com/es/films/serpent-s-paradise,1
Tío Yim,Luna Marán,https://mubi.com/es/films/uncle-yim,1
Un disfraz para Nicolás ,Eduardo Rivero Cruz ,https://mubi.com/es/films/a-costume-for-nicolas,1
Teléfono,Jerzain Ortega,https://mubi.com/es/contact,0
Claudia no se quiere morir,Adolfo López Campaña ,,
Seré breve al momento de morir ,Juan Briseño,,
Tomorrow,Frank Rodríguez,https://mubi.com/films/tomorrow-2015,0
¿Qué les pasó a las abejas?,"Robin Canul, Adriana Otero ",https://mubi.com/films/que-les-paso-a-las-abejas,1
La piel ajena,Arturo Castelán,,
Marioneta (Vagoneros),Álvaro Curiel,https://mubi.com/es/films/marionette-2018,1
Un sentimiento honesto en el calabozo del olvido,Luis Bárcenas,https://mubi.com/es/films/un-sentimiento-honesto-en-el-calabozo-del-olvido,1
Un verano,Rodrigo Fiallega ,https://mubi.com/es/films/that-kind-of-summer,0
Un viaje en taxi, Mak CK,https://mubi.com/nl/films/viaje-en-taxi,0
uzi,Pepe Valle,https://mubi.com/es/films/uzi,1
Virgen de San Juan cuatro siglos de milagros, Noé González,,
Voces de mixquic,Benito Núñez,,
Volverte a Ver (antes Llueve), Carolina Corral,https://mubi.com/es/films/to-see-you-again,1
Y si fueras tú, Hugo Carrillo Brumbaugh,https://mubi.com/es/films/si-fueras-tu,1
yib,Ozan Mermer,,
Yo necesito amor,Pepe Valle,https://mubi.com/films/i-need-love,1
Sanguinetti, Christian Díaz Pardo,https://mubi.com/es/films/sanguinetti,1
sanjuaneros,Michael Amici Y Daniel Kandell,https://mubi.com/es/films/san-junipero/cast,0
Santa Bárbara, Anaïs Pareto Onghena,https://mubi.com/es/films/santa-barbara,0
Se busca papá, Javier Colinas,,
Se escuchan aullidos,Julio Hernández Cordón,https://mubi.com/es/films/se-escuchan-aullidos,1
Sendero, Aída Alonso,https://mubi.com/es/films/the-third-path,1
Será que volverás, Jorge Colón,https://mubi.com/es/films/volveras,0
Silence Radio, Juliana Fanjul,https://mubi.com/es/films/silence-radio-2019,1
Sin hijos,Roberto Fiesco,https://mubi.com/es/films/sin-hijos,1
Sin señas particulares,Fernanda Valadez,https://mubi.com/es/films/sin-senas-particulares,1
Sísifos, Nicolás Gutiérrez Wenhammar y Santiago Mohar Volkow ,https://mubi.com/es/films/sisyphus-2019-nicolas-gutierrez-wenhammar,1
Soledad, Guillermo A. Argüelles,https://mubi.com/es/films/soledad,1
Somos, Carlos Vázquez,https://mubi.com/es/films/somos,0
Sonriendo con el corazón (antes Con olor a Guanajuato), Alex Sánchez,https://mubi.com/es/films/eisenstein-in-guanajuato,0
Soren Juan, Carlos Valdivia,https://mubi.com/es/films/soren,1
Temporada de campo,Isabel Vaca,https://mubi.com/es/films/becoming-2021,1
Territorio, Andrés Clariond,https://mubi.com/es/films/the-territories,0
The Containment (La Contención), Jack Zagha,https://mubi.com/es/films/containment-2015,0
"Tigre de noche, arena de día", Miguel Icaza,https://mubi.com/es/films/the-hidden-tiger,0
Tijuana I Love you,René Bueno,,
Todo,Frank Rodríguez,https://mubi.com/es/films/todo,0
Un México perro,Rafa Aparicio Y Andrés Klimek,https://mubi.com/es/lists/mexico--2,0
Un Retrato de familia,Adrián Zurita,https://mubi.com/es/films/ilo-ilo,0
No dejaré de buscarte,Bibiana Barba,,
Noche de fuego,Tatiana Huezo,https://mubi.com/es/films/prayers-for-the-stolen,1
Nómadas, Emiliano Ruprah,https://mubi.com/es/films/nomads-2001,0
Nudo Mixteco, Ángeles Cruz,https://mubi.com/es/films/nudo-mixteco,1
"Oblatos, el vuelo que surcó la noche",Acelo Ruiz ,https://mubi.com/es/films/oblatos-epic-flight-into-the-night,1
Obscuro Despertar, Carlos Preciado Cid,,
Oliverio y la Piscina, Arcadi Palerm,https://mubi.com/es/films/oliver-the-pool,1
Paper Boats, Yago Muñoz,https://mubi.com/es/films/paper-boats,1
Para No volver, Janette A. López,https://mubi.com/es/films/volver,0
Patitos Feos, Mauricio Chernovetzky,https://mubi.com/es/films/the-ugly-duckling-and-me,0
Patria, Matías Gueilburt,https://mubi.com/es/films/patria-2020,0
Perdida (antes Bunker), Jorge Michel Grau,https://mubi.com/es/films/bunker-2021,1
Poder Mayor Poder Menor, José Celestino Campusano,https://mubi.com/es,0
Poderoso Victoria, Raúl Ramón,https://mubi.com/es/films/the-mighty-victoria,1
Príncipe de paz,Clemente Castor,https://mubi.com/es/films/prince-of-peace-2019,1
Quiere Jugar, Adrián García Bogliano,https://mubi.com/es/specials/john-smith,0
"Rapsodia, laberintos del yo", Antonio del Rivero Herrera,,
"Rebeldía, grita el grano en el surco al agrietar la tierra para recibir los rayos del sol", Pablo Ramos,,
Rebelión de los Godínez, Carlos Morett,https://mubi.com/es/films/mutiny-of-the-worker-bees,1
Red Privada, Manuel Alcalá,https://mubi.com/es/films/red-privada-quien-mato-a-manuel-buendia,1
Sabina Sombra, Oliver Victoria,https://mubi.com/es/films/maria-sabina-woman-of-the-spirit,0
Los vecinos,Diana Cardozo,https://mubi.com/es/films/over-the-hedge,0
"Malintzin, la historia de un enigma", Fernando González Sitges,https://mubi.com/es/films/malintzin-the-story-of-an-enigma,1
Mamá se fue de viaje,Fernando Sariñana,,
Más allá del agua,Julio Quezada Orozco,https://mubi.com/es/films/the-water-2022,1
Más que mil palabras,Gerardo Gatica,https://mubi.com/films/in-the-mood-for-love/ratings?page=9,1
Me casé con un idiota,Batán Silva,,
Memoria, Apichatpong Weerasethakul,https://mubi.com/es/films/memoria-2021,1
Mentores, Jorge Díaz Sánchez,https://mubi.com/es/films/mentor,0
MexZombies, Chava Cartas,https://mubi.com/es/films/mexzombies/ratings,1
Mírame, Pavel Cantú,https://mubi.com/es/films/mirame,1
"Monarca, el espíritu del bosque Un viaje de ida y vuelta",Roberto López Fanny Miranda Y Miguel Galarza ,https://mubi.com/es/films/monarca,1
Muerte al verano,Sebastián Padilla,https://mubi.com/es/films/muerte-al-verano,1
Mujer Rarámuri Regresa a Casa, Santiago Esteinou,https://mubi.com/es/films/a-girl-walks-home-alone-at-night,0
Mujeres del alba,Jimena Montemayor,https://mubi.com/es/films/alba-2016,0
Negra Medhin, Tewolde Serrano,https://mubi.com/es/films/negra,1
Nelly, Marco E Goya,https://mubi.com/es/films/nelly-2016,0
Nerea Juan, Pablo Cortés,https://mubi.com/es/films/nerea,1
Ni contigo ni con nadie,Esteban Pérez Ghersi,,
Ni en la más oscura de mis tardes,Venancio Villalobos ,,
"Ni tuyo, Ni mía", Sandra Solares,https://mubi.com/es/films/ni-tuyo-ni-mia,1
Nido de Mantis, Arturo Sotto Díaz,https://mubi.com/es/films/nido-de-mantis,1
Niña sola, Javier Ávila,https://mubi.com/es/films/a-girl-alone,1
No Abras La puerta,Humberto Hinojosa,https://mubi.com/es/films/no-abras-nunca-esa-puerta,0
La nebulosa de Emiliano, Cristina Soto,,
La Pequeña Haití, Carlos Hernández Vázquez,https://mubi.com/es/films/haiti,0
La Revo Sing A Song Of Love, José Leos,https://mubi.com/es/films/la-revo-sing-a-song-of-love,1
La semilla invisible, Andrés Kaiser,https://mubi.com/es/films/invisible-demons,0
La sombra del desierto (o El paraíso recobrado), Juan Manuel Sepúlveda ,https://mubi.com/es/films/the-shadow-of-the-desert-or-paradise-lost,1
La venganza de Jairo, Simon Hernandez,https://mubi.com/es/films/jairo-s-revenge,1
La Venganza de Mascarita (antes Matando Cabos 2), Alejandro Lozano ,https://mubi.com/es/films/killing-cabos/cast,0
La vida de Rafael, Valentina Wiens,https://mubi.com/es/cast/rafael,0
La vida oculta de la artesanía, Pablo Márquez,,
La Vocera, Luciana Kaplan,https://mubi.com/es/films/the-spokeswoman,1
La voz del silencio, Jorge Uruchurtu,https://mubi.com/es/films/the-voice-of-silence,1
Las flores de la noche, Eduardo Esquivel y Omar Robles,https://mubi.com/es/films/the-night-flowers,1
Las Leyendas: El Origen, Ricardo Arnaiz,,
Las ninfas del celuloide, Tabatta Salinas y Andrea Gautier,https://mubi.com/es/films/ninfas-diabolicas,0
Las Sanadoras, Rodrigo Occelli,https://mubi.com/es/films/the-healers,1
Las Últimas Plumas, Alejandro Alatorre,https://mubi.com/es/films/all-about-the-feathers,0
Lecciones para canallas, Gustavo Moheno,,
Lo que algunos soñaron, Michel Franco,https://mubi.com/es,0
Locas por el Cambio, Ihtzi Hurtado,,
Loco fin de semana, Kristoff Raczynski,,
Loco por ti (antes Las píldoras de mi novio), Diego Kaplan,https://mubi.com/es/films/my-boyfriend-s-meds,1
Los días francos, Ulises Pérez Mancilla,https://mubi.com/es/cast/michel-franco,0
Los días particulares, Chucho E. Quintero,https://mubi.com/es/films/these-peculiar-days,1
Hasta que la suerte nos separe, Gerardo Morán,https://mubi.com/es/films/til-madness-do-us-part,0
Hueso de Corvina, Abel Amador Alcalá,,
Identidad tomada, Gabriel Retes,https://mubi.com/films/identidad-tomada,1
Imaginando la oscuridad, Roque Azcuaga,https://mubi.com/es/films/a-scanner-darkly,0
Inevitable, Manuel Villaseñor,https://mubi.com/es/films/inevitable,1
Infección, Flavio Pedota,https://mubi.com/es/films/infection-2019,1
Infelices por siempre, Noé Santillán-López,,
Instrucciones para Su, José Ramón Chávez,https://mubi.com/es/memberships,0
Insular, Federico Adorno,https://mubi.com/films/insular-sights,0
Jericajazz Jazz en tierra mojada, Jorge Bidault ,https://mubi.com/es/films/jericajazz-jazz-from-wetland,1
Juzga, Hari Sinn,https://mubi.com/es/films/high-crime,0
La asfixia, Ana Isabel Bustamante,https://mubi.com/es/films/la-asfixia,1
La candidata, Emil Guevara Malavé y Ronald Rivas Casallas,https://mubi.com/es/films/the-perfect-candidate,0
La casa del jabonero, Alonso Ruizpalacios,https://mubi.com/es/films/the-house-that-jack-built-2017,0
La compañía que guardas, Diego Gutiérrez,https://mubi.com/es/films/the-company-you-keep-2017,1
La cuenca de los ríos de piedra, Pablo Benjamín Nieto Mercado,,
La esquinita de México, Leonor Maldonado,https://mubi.com/es/lists/mexico--2,0
La fiera y la fiesta, Laura Amelia Guzmán e Israel Cárdenas,https://mubi.com/es/films/holy-beasts,1
La Frontera Invisible, Mariana Flores Villalba,https://mubi.com/films/the-invisible-frontier,1
La invención del mar, Adrián Ortíz,https://mubi.com/es/showing,0
La liga de los 5, Marvick Núñez,https://mubi.com/es/films/la-liga-de-los-5,1
La línea que divide, César Alejandro,https://mubi.com/films/la-linea-dell-orizzonte,0
La Mami, Laura Herrero Garvín,https://mubi.com/es/films/la-mami,1
El mundo secreto de Marina, Sonia Fritz,,
El otro Tom, Rodrigo Plá,https://mubi.com/es/films/the-other-tom,1
El poder de la mirada, José Ramón Mikelajáuregui,https://mubi.com/es/films/glancing-at-power,1
El Rey de la Fiesta, Salomón Askenazi,https://mubi.com/es/films/the-king-of-the-party,1
El rey de todo el mundo, Carlos Saura,https://mubi.com/es/films/the-king-of-the-whole-world,1
El sueño de Hikuri Abraham, Torres Valadez,,
El Testamento de la Abuela, Javier Colinas,,
El último Tlatoani, Pablo Jato,https://mubi.com/lists/mexico--2,0
El vestido de la novia, Roque Falabella,https://mubi.com/es/films/the-wedding-dress,0
Yermo (antes El Vientre Yermo), Everardo González,https://mubi.com/films/wilderness-2020,1
Ermitaños, Daniela Uribe,https://mubi.com/es/cast/tad-ermitano,0
Escorpio, Julian Noble,https://mubi.com/es/films/the-curse-of-the-jade-scorpion,0
Estado del imperio, Amat Escalante,https://mubi.com/es/films/the-event-2015,0
Estamos hechos, Herbey Eguiarte,https://mubi.com/es/specials/love-triangle,1
Familia de medianoche, Luke Lorentzen,https://mubi.com/es/films/midnights-children,0
FBI Franciscos Banda Internacional, Gustavo Gamou ,https://mubi.com/es/films/fbi-francesco-bertolazzi-investigatore,0
Fin amor, Raúl Quintanilla,https://mubi.com/es/films/amor-en-fin,0
Forgiveness, Alex Kahuam,https://mubi.com/es/films/forgiveness-2020,1
Fractal, Mariana González,https://mubi.com/es/films/fractal,1
Frontera sur, Raúl O. Paz Pastrana,https://mubi.com/es/films/frontera-al-sur,0
Guadalupe Reyes, Salvador Espinosa,,
Guía para el viajero que no quiere preguntar, Mariana Chenillo,https://mubi.com/es/films/the-hitchhikers-guide-to-the-galaxy,0
Guiexhuba, Sabrina Muhate,https://mubi.com/es/films/guiexhuba,1
Dioses de México, Giorgio Blasi,https://mubi.com/es/films/gods-of-mexico,1
Doblemente embarazada, Koko Stambuk,,
Domingo, Raúl López,https://mubi.com/es/films/domingo-2020,1
Donde corre el agua, Juan Carlos Blanco,https://mubi.com/es/films/the-water-2022,0
Donde los pájaros van a morir, Analeine Cal y Mayor,,
Dos veces tú, Salomón Askenazi,https://mubi.com/es/films/two-times-you,1
Efímera (antes Efemeróptera), Luis Mariano García Villanueva,,
El amarre, Tamae Garateguy,https://mubi.com/es/films/el-amarre,1
El baile de los 41, David Pablos,https://mubi.com/es/films/dance-of-the-41,1
El camino de Sol, Claudia Sainte-Luce,https://mubi.com/es/cast/claudia-sainte-luce,0
El Corazón de Bolívar, Leonel González,https://mubi.com/es/lists/cine-colombiano-la-historia-sin-fin,0
El día uno, Antonio Yglesias y Juan Manuel Fernández,,
El diablo entre las piernas, Arturo Ripstein,https://mubi.com/es/films/devil-between-the-legs,1
