Film,Director,imdburl
Maricarmen,Sergio Adrián Morkin,https://www.imdb.com/title/tt6683082/
Notas para no olvidar,Hatuey Joaquín Viveros,https://www.filmaffinity.com/es/film223514.html
Una corriente salvaje,Nuria Ibáñez Castañeda,https://www.imdb.com/title/tt9346782/
Laberinto Yoéme,Sergi Pedro Ros,https://www.imdb.com/title/tt11383990/
La ley del monte,Mario Mandujano,https://www.imdb.com/title/tt0308503/
El refugio de los insomnes,José Giordano,https://www.imdb.com/title/tt6719840/
Takeda,Yaasib Álvaro Vázquez,https://www.imdb.com/title/tt4425350/
Rita,Arturo Díaz Santana,https://www.imdb.com/title/tt1973692/
Mente revólver,Alejandro Ramírez Corona,https://www.imdb.com/title/tt6097248/
El baile y el salón,Iván Porras,https://www.imdb.com/title/tt0254745/
Un buen sabor de boca,Jaime Humberto Hermosillo,https://m.imdb.com/name/nm4261659/fullcredits
Opus Zero,Daniel Graham,https://www.imdb.com/title/tt6195904/
La boda de Valentina,Marcopolo Constance,https://www.imdb.com/title/tt4823538/
La misma sangre,Ángel Linares,https://www.imdb.com/title/tt5687236/
Cría puercos,Ehécatl García Jiménez,https://www.imdb.com/title/tt5900596/
A ti te quería encontrar,Javier Colinas,https://www.imdb.com/title/tt6236142/
Escuela para seductores,Giovanna Zacarías,https://www.imdb.com/title/tt3890536/
Rush Hour,Luciana Kaplan,https://www.imdb.com/title/tt0120812/
Cuando los hijos regresan,Hugo Lara,https://www.imdb.com/title/tt3281920/
Moctezuma y yo,Issa López,https://www.imdb.com/title/tt6131126/
Viviana Rocco. Yo trans,Daniel Reyes,https://www.imdb.com/title/tt5442562/
Dispositio,Nila Guiss,https://www.imdb.com/title/tt2983340/
Los años azules,Sofía Gómez Córdova,https://www.imdb.com/title/tt4922008/
Silenciosa,Sofía Medrano,https://www.imdb.com/title/tt5323662/
Ayotzinapa 26,Fernando Eimbcke  Abraham Escobedo Salas  Dr. Alderete  Paula Markovitch  Aarón Fernández  Julien Devaux  François Olislaeger  Bruno Bichir  Hari Sama  Kenya Márquez  Alberto Reséndiz  Sebastián Hoffman  Jorge Bolado  Pablo Fulguería  Lucía Gajá  Ludovic Bonleux  Mariana Rodríguez  Christine Burkhard  Alex Noppel  Marcello Sahea  Ricardo del Conde  Viviana García.,https://www.imdb.com/title/tt12986174/
Algo de todos,Isabel María,https://www.imdb.com/title/tt6538340/
Humboldt en México. La mirada del explorador,Ana Cruz Navarro,https://www.imdb.com/title/tt7645032/
Mientras se espera,Paola Villanueva,https://www.imdb.com/title/tt5759064/
American Curious,Gabylú Lara,https://www.imdb.com/title/tt5290196/
Donde se quedan las cosas,Daniela Silva Solórzano,https://www.imdb.com/title/tt5195878/
A toca do lobo,Catarina Mourão,https://www.imdb.com/title/tt4659808/
Entre pasos y sonidos,Elizabeth Piña Hernández,https://www.imdb.com/title/tt0282949/?language=es-mx
Los quijotes de la marcha,Florencia Davidzon,https://www.imdb.com/title/tt4097228/
País desfragmentado y desigual. De los derechos a los hechos,Araceli Martínez Pérez,https://www.imdb.com/title/tt0211769/
Qué comience la función,Mayra Alejandra Toscano Villicaña,https://www.imdb.com/title/tt7622538/
La nueva Medellín,Catalina Villar,https://www.imdb.com/title/tt5539404/
Sonali,Paulina Urreta,https://www.imdb.com/name/nm0007114/
Suelo mirar al cielo,Liliana Cortés González,https://www.imdb.com/title/tt9104622/
Por donde pasa el diablo,Sofía Castillo  Margot Florestorre,https://www.imdb.com/title/tt4076760/
Sobre tus huellas,Luis Yduñate,https://www.imdb.com/title/tt5932632/
El sonido de las células,Martín Amilcar,https://www.imdb.com/title/tt6160448/
Mi padrino,Beto Gómez,https://www.imdb.com/title/tt0323241/
Ni un minuto que perder,Luis Eduardo Reyes,https://www.imdb.com/title/tt0119807/
Territorio Leonora,Gibrán Bazán,https://www.imdb.com/title/tt8235050/
Welcome to Acapulco,Guillermo Iván,https://www.imdb.com/title/tt6047374/
Paraíso en Auschwitz,Aarón Cohen,https://www.imdb.com/title/tt5676108/
Desayuno de perros (Dog ́s Breakfast),Rich Valverde,https://www.imdb.com/title/tt0796314/
El lugar de las flores,Héctor I. Jiménez,https://www.imdb.com/title/tt8387348/
El ruiseñor y la noche. Chavela Vargas canta a Lorca,Rubén Rojo Aura,https://www.imdb.com/title/tt4576332/?language=es-mx
Norte estrecho,Omar L. Villarroel,https://www.imdb.com/title/tt2656420/
Nueva Venecia,Emiliano Mazza de Luca,https://www.imdb.com/title/tt5374000/
Pies ligeros,Juan Carlos Núñez Chavarría,https://www.imdb.com/title/tt11162992/
Shih,Bruno Zafforra  Rafael Ortega,https://www.imdb.com/title/tt3154474/
La coartada perfecta (The Hit Producer),Kevin de la Isla,https://www.imdb.com/title/tt2544624/?language=es-mx
Historia de dos que soñaron,Nicolás Pereda  Andrea Bussmann,https://www.milenio.com/cultura/laberinto/ennio-morricone-sergio-leone-genios-sonaron-america
Histeria,Carlos Meléndez,https://www.imdb.com/title/tt0175738/
Malacrianza,Arturo Menéndez,https://www.imdb.com/title/tt3279818/
Forward,Henry Bedwell,https://www.imdb.com/title/tt8526168/
Las letras,Pablo Chavarría Gutiérrez,https://www.imdb.com/title/tt5205698/
La niña de la mina,Jorge Eduardo Ramírez,https://www.imdb.com/title/tt3995766/
Pink,Paco del Toro,https://www.imdb.com/name/nm0600877/
Teokari Compañero de camino,Salvador Espinosa Orozco,https://m.imdb.com/title/tt4319230/releaseinfo/
Erosión,Carlos Underwood  Sergio Santiago,https://www.imdb.com/title/tt0377864/
Mirar morir El ejército en la noche de Iguala,Coizta Grecko,https://www.imdb.com/title/tt11268758/
Eva no duerme,Pablo Argüero,https://www.imdb.com/title/tt2953182/
Mañana psicotrópica,Alexandro Aldrete,https://www.imdb.com/title/tt3611996/
Pistola de juguete,Adolfo López,https://www.imdb.com/title/tt7597790/
Las aventuras de Itzel y Sonia (antes/previously Itzel y Sonia en busca de los Guardianes del Agua),Fernanda Rivero Gutiérrez,https://www.dreff.org/2016/como-ser-guardianes-del-agua-las-aventuras-de-itzel-y-sonia-llega-a-los-ninos-y-ninas-de-constanza/?lang=en
Minezota,Carlos Enderle,https://www.imdb.com/title/tt0116289/
3 mujeres (o despertando de mi sueño bosnio) 3 zene (or Waking Up From My Bosnian Dream),Sergio Flores Thorija,https://www.imdb.com/title/tt5351352/
La selva negra,Saúl Kak  Charles Fairbanks,https://www.imdb.com/title/tt0037839/?language=es-mx
Mientras se busca al diablo,Danniel Danniel  Diego Gutiérrez,https://www.imdb.com/title/tt1588170/
Mexicanos de bronce,Julio Jesús Fernández Talamantes,https://www.imdb.com/title/tt6877886/
Santa Teresa y otras historias,Nelson de los Santos Arias,https://www.imdb.com/title/tt5227588/
"Treintona, soltera y fantástica",Chava Cartas,https://www.imdb.com/title/tt4829436/
La vieja escuela,Alejandro Soltero,https://www.imdb.com/title/tt4068056/
El chico de Oklahoma,Julio Carlos Ramos Zapata,https://www.imdb.com/title/tt0031747/
Panoramas,Rodrigo Guardiola  Gabriel Cruz Rivas,https://www.imdb.com/title/tt5158844/
Bonsai,Alex Andonie,https://www.imdb.com/title/tt1913002/
El salmón,Janett Juárez  Ricardo Martez,https://www.imdb.com/title/tt9202704/
Casi paraíso,Pablo Narezo,https://www.imdb.com/title/tt6117646/
La muñeca fea,Claudia López García  George Reyes,https://www.imdb.com/title/tt1727333/
Te prometo nunca regresar,Pepe Gutiérrez García,https://www.imdb.com/title/tt2378281/
El navegante de fin de semana (The Weekend Sailor),Bernardo Arsuaga,https://www.imdb.com/title/tt4880942/
En la periferia,Alberto Zúñiga Rodríguez,https://www.imdb.com/title/tt8291284/
El mural no es como lo pintan,Paula Calzada  Héctor Falcón Villa  Karol Yáñez,https://www.imdb.com/title/tt5525360/
La huésped,Pedro Pablo de Antuñano Padilla,https://www.imdb.com/title/tt1517260/
Allá en la Costa Grande,Érick Rams,https://www.imdb.com/title/tt7072832/
El ombligo del cocoshle,David Antonio Martínez Pinacho,https://www.imdb.com/title/tt14668630/
El tercer espacio,Nejemye Tenenbaum,https://www.imdb.com/title/tt5242034/
Bastidores,Anaïs Huerta  Carlos Mignon  Bruno Bancalari  Paulina del Paso  Raúl Cuesta  Rodrigo VVG  Carlos Muñoz  Juliana Gómez,https://www.imdb.com/title/tt0489894/
Hermanos,Laura Plancarte,https://www.imdb.com/title/tt2677972/
Vidas con sabor,Pablo Gasca Gollás,https://www.imdb.com/title/tt4298958/
Las reglas de la ruina,Víctor Osuna,https://www.imdb.com/title/tt5955792/
Nerdertal,Ricardo Gómez Villanueva,https://www.imdb.com/title/tt0495932/
Jondo,Alfredo Ruiz,https://www.imdb.com/title/tt17056432/
Poor People Relax Me,Miguel Ferráez  Clara Winter,https://www.imdb.com/title/tt7853128/
Cuando la vida no vale nada El mural,Ricardo Arenas,https://www.imdb.com/title/tt0047654/
The Public Image is Rotten,Tabbert Fiiller,https://www.imdb.com/title/tt6794466/
Calypsonians,Anghelo Taylor  Damien Prouvost,https://www.imdb.com/title/tt5368532/
Tatami El lugar menos hostil,David Torres,https://www.imdb.com/title/tt6384732/
La leyenda del Charro Negro,Alberto Rodríguez,https://www.imdb.com/title/tt6772418/
Detrás de la máscara La película documental de Rayo de Plata,Anubis Alejandro López Martínez,https://www.imdb.com/name/nm1494754/
Le Bouquiniste (El buquinista),Gibrán Bazán,https://www.imdb.com/title/tt4429814/
Feliz año Tijuana,Andrew van Baal,https://www.imdb.com/title/tt6096192/
Después del azul,Octavio Gasca,https://www.imdb.com/title/tt13285342/
La segunda dama,Omar Oswaldo G. Aceves,https://www.imdb.com/title/tt7457166/
Incertidumbre,Haroldo Fajardo,https://www.imdb.com/title/tt0181596/
Vlog Vampire,Mayen Briem,https://www.imdb.com/title/tt6754322/?language=es-mx
Etapas,Juan Pablo Cantú,https://www.imdb.com/title/tt9067174/
El callejón,Carolina Duarte,https://www.imdb.com/title/tt5586700/
"I am God, Dogma I",Jorge Bolado,https://www.imdb.com/title/tt0120655/
El día que conocí a María,Orlando Álvarez  Ariana García,https://www.imdb.com/name/nm0737938/
Entraña,Jair Torres Baizabal,https://www.imdb.com/title/tt12020214/
El fin de la virtud,Abel B. Zuni,https://www.imdb.com/title/tt5246700/
Hale Bopp,Jarib Zagoya Montiel,https://www.imdb.com/title/tt0299958/
La palabra de Pablo,Arturo Menéndez,https://www.imdb.com/title/tt5594352/
La caótica vida de Nada,Marta Hernaiz Pidal,https://www.imdb.com/title/tt7933544/
La batalla del volcán,Julio López Fernández,https://www.imdb.com/title/tt10464450/
Jazmines en Lídice,Rubén Sierra Salles,https://www.imdb.com/title/tt8141270/
Yo Fausto,Julio Berthely,https://www.imdb.com/title/tt7157990/
Island of the Dolls (La Isla de las muñecas),Sebastián Mantilla,https://www.imdb.com/title/tt4423788/
Arritmia,Gibrán Bazán,https://www.imdb.com/title/tt10096850/
 Las hijas de Abril,Michel Franco,https://www.imdb.com/title/tt6397762/
 Gente de mar y viento,Ingrid Eunice  Fabián González,https://www.imdb.com/title/tt4164034/?language=es-mx
 Al otro lado del muro,Pau Ortiz,https://www.imdb.com/title/tt7526286/
 Verónica,Carlos Algara  Alejandro Martínez Beltrán,https://www.imdb.com/title/tt5862312/
 Hazlo como hombre,Nicolás López,https://www.imdb.com/title/tt6046212/
 El silencio es bienvenido,Gabriela García Rivas,https://www.imdb.com/title/tt6436212/
 Artemio,Sandra Luz López Barroso,https://www.imdb.com/title/tt9036124/
 Witkin & Witkin. Un fotógrafo y un pintor,Trisha Ziff,https://www.imdb.com/title/tt7052118/?language=es-mx
 Casi una gran estafa,Guillermo Barba,https://www.imdb.com/title/tt6281428/
Feral,Andrés Eichelmann Kaiser,https://www.imdb.com/title/tt6937878/
Nadie sabrá nunca,Jesús Torres,https://www.imdb.com/title/tt8251336/
El habitante,Guillermo Amoedo,https://www.imdb.com/title/tt6830412/
Siempre andamos caminado,Dinazar Urbina Mata,https://www.imdb.com/title/tt11284264/
La compañía que guardas,Diego Gutiérrez,https://www.imdb.com/title/tt9115624/
Una mujer sin filtro,Luis Eduardo Reyes,https://www.imdb.com/title/tt7517054/
El sembrador,Melissa Elizondo Moreno,https://www.imdb.com/title/tt7238368/
Mapa de sueños latinoamericanos,Martín Weber,https://www.imdb.com/title/tt7954194/
Pacífico Norte,Valentina Sachetti,https://www.imdb.com/title/tt5046974/
Una isla en el continente,Juan Pablo Miquirray,https://www.imdb.com/title/tt9740608/
La lengua de la lluvia/Tu ́un savi,Uriel López España,https://www.imdb.com/title/tt5919394/releaseinfo/
Detrás de la montaña,David R. Romay,https://www.imdb.com/title/tt4823494/
Donde nace la vida,Carlos Reygadas,https://www.imdb.com/news/ni59102241
El actor principal,Paula Markovitch,https://www.imdb.com/title/tt7907250/
Clases de historia,Marcelino Islas Hernández,https://www.imdb.com/title/tt6303018/
La mala noche,Gabriela Calvache,https://www.imdb.com/title/tt0089537/
Ricochet,Rodrigo Fiallega,https://www.imdb.com/title/tt0102789/
Vaquero del medio día,Alicia Cárdenas,https://www.imdb.com/title/tt11056990/
Hasta que la boda nos separe,Santiago Limón,https://www.imdb.com/title/tt9519642/
Los inquilinos,Iria Gómez Concheiro,https://www.imdb.com/title/tt4876524/
Azul intenso,Roberto Hernández Ruiz,https://www.imdb.com/title/tt12564342/
Los poetas del cielo,Emilio Maillé,https://www.imdb.com/title/tt6683360/
Daniela y Tania,Salomón Askenazi,https://www.imdb.com/title/tt0211797/characters/nm0400069
"Tlalocan, bajo la ciudad de los dioses",Juan Roberto Mora Catlett  Carlos Rodrigo Montes,https://www.imdb.com/title/tt0063173/
Los hermanos Márquez Castillo,Mark Alazraki  Fernando Rovzar,https://www.imdb.com/title/tt6507682/
Luciérnagas,Bani Khoshnoudi,https://www.imdb.com/title/tt8159302/
Malibú,Víctor Manuel Velázquez,https://www.imdb.com/title/tt13535964/
Las niñas bien,Alejandra Márquez Abella,https://www.imdb.com/title/tt7482212/
Guachicolero,Edgar Nito,https://www.imdb.com/title/tt8000734/
Allá en el rancho,Rafael Montero,https://www.imdb.com/title/tt0040088/
Loca por el trabajo,Luis Eduardo Reyes,https://www.imdb.com/title/tt7126758/
Pájaros de verano,Ciro Guerra  Cristina Gallego,https://www.imdb.com/title/tt6386748/
Asfixia,Kenya Márquez,https://www.imdb.com/title/tt6560352/
La marca del demonio,Armando Casas,https://www.imdb.com/title/tt7263040/
El ídolo,Erwin Neumaier,https://www.imdb.com/title/tt6976274/
Compulsión,Batán Silva,https://www.imdb.com/title/tt7021758/
Museo,Alonso Ruizpalacios,https://www.imdb.com/title/tt4958448/
Dibujando el cielo,Ana Laura Calderón Montiel,https://www.imdb.com/title/tt4878984/
El complot mongol,Sebastián del Amo,https://www.imdb.com/title/tt0264494/
Bayoneta,Kyzza Terrazas,https://www.imdb.com/title/tt6472116/
La ruta de los caídos,Alejandro Springall,https://www.imdb.com/title/tt6833964/
Ni tú ni yo,Noé Santillán-López,https://www.imdb.com/title/tt5878590/
El pequeño gran hombre,Jorge Ramírez-Suárez,https://www.imdb.com/title/tt3680820/
Souvenir,Armond Cohen,https://www.imdb.com/title/tt6920356/
Placa de acero,Abe Rosenberg,https://www.imdb.com/title/tt4498152/
Ni tú ni nadie,Gabriel Guzmán,https://www.imdb.com/title/tt0460881/
Nahui,Gerardo Tort,https://www.imdb.com/title/tt5363028/
 Si yo fuera tú,Alejandro Lubezki,https://www.imdb.com/title/tt7251488/
