Film,Director,mubi_rating
El lugar de las flores,Héctor I. Jiménez,
El ruiseñor y la noche. Chavela Vargas canta a Lorca,Rubén Rojo Aura,
Norte estrecho,Omar L. Villarroel,['7.5']
Nueva Venecia,Emiliano Mazza de Luca,[]
Pies ligeros,Juan Carlos Núñez Chavarría,['6.9']
Shih,Bruno Zafforra  Rafael Ortega,
La coartada perfecta (The Hit Producer),Kevin de la Isla,
Historia de dos que soñaron,Nicolás Pereda  Andrea Bussmann,
Histeria,Carlos Meléndez,
Malacrianza,Arturo Menéndez,
Forward,Henry Bedwell,
Las letras,Pablo Chavarría Gutiérrez,
La niña de la mina,Jorge Eduardo Ramírez,[]
Pink,Paco del Toro,
Teokari Compañero de camino,Salvador Espinosa Orozco,
Erosión,Carlos Underwood  Sergio Santiago,
Mirar morir El ejército en la noche de Iguala,Coizta Grecko,
Eva no duerme,Pablo Argüero,['6.1']
Mañana psicotrópica,Alexandro Aldrete,['5.0']
Pistola de juguete,Adolfo López,
Las aventuras de Itzel y Sonia (antes/previously Itzel y Sonia en busca de los Guardianes del Agua),Fernanda Rivero Gutiérrez,
Minezota,Carlos Enderle,
3 mujeres (o despertando de mi sueño bosnio) 3 zene (or Waking Up From My Bosnian Dream),Sergio Flores Thorija,[]
La selva negra,Saúl Kak  Charles Fairbanks,['7.1']
Mientras se busca al diablo,Danniel Danniel  Diego Gutiérrez,
Mexicanos de bronce,Julio Jesús Fernández Talamantes,
Santa Teresa y otras historias,Nelson de los Santos Arias,['6.5']
"Treintona, soltera y fantástica",Chava Cartas,[]
La vieja escuela,Alejandro Soltero,
El chico de Oklahoma,Julio Carlos Ramos Zapata,
Panoramas,Rodrigo Guardiola  Gabriel Cruz Rivas,[]
Bonsai,Alex Andonie,['4.8']
El salmón,Janett Juárez  Ricardo Martez,
Casi paraíso,Pablo Narezo,
La muñeca fea,Claudia López García  George Reyes,
Te prometo nunca regresar,Pepe Gutiérrez García,[]
El navegante de fin de semana (The Weekend Sailor),Bernardo Arsuaga,[]
En la periferia,Alberto Zúñiga Rodríguez,[]
El mural no es como lo pintan,Paula Calzada  Héctor Falcón Villa  Karol Yáñez,
La huésped,Pedro Pablo de Antuñano Padilla,
Allá en la Costa Grande,Érick Rams,
El ombligo del cocoshle,David Antonio Martínez Pinacho,
El tercer espacio,Nejemye Tenenbaum,
Bastidores,Anaïs Huerta  Carlos Mignon  Bruno Bancalari  Paulina del Paso  Raúl Cuesta  Rodrigo VVG  Carlos Muñoz  Juliana Gómez,
Hermanos,Laura Plancarte,
Vidas con sabor,Pablo Gasca Gollás,
Las reglas de la ruina,Víctor Osuna,['4.5']
Nerdertal,Ricardo Gómez Villanueva,
Jondo,Alfredo Ruiz,
Poor People Relax Me,Miguel Ferráez  Clara Winter,
Cuando la vida no vale nada El mural,Ricardo Arenas,
The Public Image is Rotten,Tabbert Fiiller,['6.6']
Calypsonians,Anghelo Taylor  Damien Prouvost,
Tatami El lugar menos hostil,David Torres,
La leyenda del Charro Negro,Alberto Rodríguez,[]
Detrás de la máscara La película documental de Rayo de Plata,Anubis Alejandro López Martínez,
Le Bouquiniste (El buquinista),Gibrán Bazán,
Feliz año Tijuana,Andrew van Baal,
Después del azul,Octavio Gasca,
La segunda dama,Omar Oswaldo G. Aceves,
Incertidumbre,Haroldo Fajardo,
Vlog Vampire,Mayen Briem,
Etapas,Juan Pablo Cantú,
El callejón,Carolina Duarte,
Alex Winter,César Demian,
"I am God, Dogma I",Jorge Bolado,
El día que conocí a María,Orlando Álvarez  Ariana García,
Entraña,Jair Torres Baizabal,[]
El fin de la virtud,Abel B. Zuni,
Hale Bopp,Jarib Zagoya Montiel,
La palabra de Pablo,Arturo Menéndez,
La caótica vida de Nada,Marta Hernaiz Pidal,['5.3']
La batalla del volcán,Julio López Fernández,
Jazmines en Lídice,Rubén Sierra Salles,[]
Yo Fausto,Julio Berthely,[]
Island of the Dolls (La Isla de las muñecas),Sebastián Mantilla,[]
Arritmia,Gibrán Bazán,['8.0']
 Las hijas de Abril,Michel Franco,['7.2']
 Gente de mar y viento,Ingrid Eunice  Fabián González,
 Al otro lado del muro,Pau Ortiz,
 Verónica,Carlos Algara  Alejandro Martínez Beltrán,['5.1']
 Hazlo como hombre,Nicolás López,['4.0']
 El silencio es bienvenido,Gabriela García Rivas,['6.3']
 Artemio,Sandra Luz López Barroso,[]
 Witkin & Witkin. Un fotógrafo y un pintor,Trisha Ziff,['8.5']
 Casi una gran estafa,Guillermo Barba,
Feral,Andrés Eichelmann Kaiser,['8.0']
Nadie sabrá nunca,Jesús Torres,[]
El habitante,Guillermo Amoedo,['4.4']
Siempre andamos caminado,Dinazar Urbina Mata,
