N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00075,EL ANÓNIMO,MEX,FERNANDO DE FUENTES,1932,
A-00076,EL PRISIONERO TRECE,MEX,FERNANDO DE FUENTES,1933,
A-00077,LA CALANDRIA,MEX,FERNANDO DE FUENTES,1933,
A-00078,EL TIGRE DE YAUTEPEC,MEX,FERNANDO DE FUENTES,1933,
A-00079,EL COMPADRE MENDOZA,MEX,FERNANDO DE FUENTES,1933,
A-00080,EL FANTASMA DEL CONVENTO,MEX,FERNANDO DE FUENTES,1934,
A-00081,CRUZ DIABLO,MEX,FERNANDO DE FUENTES,1934,
A-00082,VÁMONOS CON PANCHO VILLA,MEX,FERNANDO DE FUENTES,1935,
A-00083,LA FAMILIA DRESSEL,MEX,FERNANDO DE FUENTES,1935,
A-00084,LAS MUJERES MANDAN,MEX,FERNANDO DE FUENTES,1936,
A-00085,ALLÁ EN EL RANCHO GRANDE,MEX,FERNANDO DE FUENTES,1936,
A-00086,BAJO EL CIELO DE MÉXICO,MEX,FERNANDO DE FUENTES,1937,
A-00087,LA ZANDUNGA,MEX,FERNANDO DE FUENTES,1937,
A-00088,LA CASA DEL OGRO,MEX,FERNANDO DE FUENTES,1938,
A-00089,PAPACITO LINDO ,MEX,FERNANDO DE FUENTES,1939,
A-00090,ALLÁ EN EL TRÓPICO,MEX,FERNANDO DE FUENTES,1940,
A-00091,EL JEFE MÁXIMO,MEX,FERNANDO DE FUENTES,1940,
A-00092,CREO EN DIOS,MEX,FERNANDO DE FUENTES,1940,
A-00093,LA GALLINA CLUECA,MEX,FERNANDO DE FUENTES,1941,
A-00094,ASÍ SE QUIERE EN JALISCO,MEX,FERNANDO DE FUENTES,1942,
A-00095,DOÑA BÁRBARA,MEX,FERNANDO DE FUENTES,1943,
A-00096,LA MUJER SIN ALMA,MEX,FERNANDO DE FUENTES,1943,
A-00097,EL REY SE DIVIERTE,MEX,FERNANDO DE FUENTES,1944,
A-00098,HASTA QUE PERDIÓ JALISCO,MEX,FERNANDO DE FUENTES,1945,
A-00099,LA SELVA DE FUEGO,MEX,FERNANDO DE FUENTES,1945,
A-00100,LA DEVORADORA,MEX,FERNANDO DE FUENTES,1946,
A-00101,ALLÁ EN EL RANCHO GRANDE  (2a. Versión),MEX,FERNANDO DE FUENTES,1948,
A-00102,JALISCO CANTA EN SEVILLA,MEX-ESP,FERNANDO DE FUENTES,1948,
A-00103,HIPÓLITO EL DE SANTA,MEX,FERNANDO DE FUENTES,1949,
A-00104,POR LA PUERTA FALSA,MEX,FERNANDO DE FUENTES,1950,
A-00105,CRIMEN Y CASTIGO,MEX,FERNANDO DE FUENTES,1950,
A-00106,LOS HIJOS DE MARÍA MORALES,MEX,FERNANDO DE FUENTES,1952,
A-00107,CANCIÓN DE CUNA,MEX,FERNANDO DE FUENTES,1952,
A-00108,ERÓTICA,MEX,EMILIO FERNÁNDEZ,1978,
A-00109,MEMORIAS DE UN MEXICANO,MEX,CARMEN TOSCANO,1950,
A-00110,DOS MONJES,MEX,JUAN BUSTILLO ORO,1934,
A-00111,UNO Y MEDIO CONTRA EL MUNDO,MEX,JOSÉ ESTRADA,1971,
A-00112,SUSANA (CARNE Y DEMONIO),MEX,LUIS BUÑUEL,1950,
A-00113,LA MUERTE EN ESTE JARDÍN,MEX-FRA,LUIS BUÑUEL,1966,
A-00114,CONFIDENCIAS,MEX,JAIME HUMBERTO HERMOSILLO,1982,
A-00115,BÉSAME MUCHO,MEX,EDUARDO UGARTE,1944,
A-00116,LA VÍSPERA,MEX,ALEJANDRO PELAYO,1982,
A-00117,LAGUNA DE DOS TIEMPOS,MEX,EDUARDO MALDONADO,1982,
A-00118,BAJO EL MISMO SOL Y SOBRE LA MISMA TIERRA,MEX,FEDERICO WEINGARTSHOFER,1979,
A-00119,HISTORIAS PROHIBIDAS DE PULGARCITO,MEX-SAL,PAUL LEDUC,1980,
A-00120,UNO ENTRE MUCHOS,MEX,ARIEL ZÚÑIGA,1981,
A-00121,UNA HISTORIA DE PAYASOS,MEX,EDUARDO CARRASCO ZANINI,1983,
A-00122,ASÍ ES VIETNAM,MEX,JORGE FONS,1979,
A-00123,LA ISLA DE LA PASIÓN,MEX,EMILIO FERNÁNDEZ,1941,
A-00124,SOY PURO MEXICANO,MEX,EMILIO FERNÁNDEZ,1942,
A-00125,FLOR SILVESTRE,MEX,EMILIO FERNÁNDEZ,1943,
A-00126,MARÍA CANDELARIA,MEX,EMILIO FERNÁNDEZ,1943,
A-00127,BUGAMBILIA,MEX,EMILIO FERNÁNDEZ,1944,
A-00128,PEPITA JIMÉNEZ,MEX,EMILIO FERNÁNDEZ,1945,
A-00129,LA PERLA,MEX,EMILIO FERNÁNDEZ,1945,
A-00130,ENAMORADA,MEX,EMILIO FERNÁNDEZ,1946,
A-00131,RÍO ESCONDIDO,MEX,EMILIO FERNÁNDEZ,1947,
A-00132,MACLOVIA,MEX,EMILIO FERNÁNDEZ,1948,
A-00133,SALÓN MÉXICO,MEX,EMILIO FERNÁNDEZ,1948,
A-00134,PUEBLERINA,MEX,EMILIO FERNÁNDEZ,1948,
A-00135,LA MALQUERIDA,MEX,EMILIO FERNÁNDEZ,1949,
A-00136,DUELO EN LAS MONTAÑAS,MEX,EMILIO FERNÁNDEZ,1949,
A-00137,UN DÍA DE VIDA,MEX,EMILIO FERNÁNDEZ,1950,
A-00138,VÍCTIMAS DEL PECADO,MEX,EMILIO FERNÁNDEZ,1950,
A-00139,ISLAS MARÍAS,MEX,EMILIO FERNÁNDEZ,1950,
A-00140,SIEMPRE TUYA,MEX,EMILIO FERNÁNDEZ,1950,
A-00141,LA BIENAMADA,MEX,EMILIO FERNÁNDEZ,1951,
A-00142,ACAPULCO,MEX,EMILIO FERNÁNDEZ,1951,
A-00143,EL MAR Y TÚ,MEX,EMILIO FERNÁNDEZ,1951,
A-00144,CUANDO LEVANTA LA NIEBLA,MEX,EMILIO FERNÁNDEZ,1952,
A-00145,LA RED,MEX,EMILIO FERNÁNDEZ,1953,
A-00146,REPORTAJE,MEX,EMILIO FERNÁNDEZ,1953,
A-00147,EL RAPTO,MEX,EMILIO FERNÁNDEZ,1953,
A-00148,LA ROSA BLANCA,MEX-CUBA,EMILIO FERNÁNDEZ,1953,
A-00149,NOSOTROS DOS,MEX-ESP,EMILIO FERNÁNDEZ,1954,
A-00150,UNA CITA DE AMOR,MEX,EMILIO FERNÁNDEZ,1956,
A-00151,EL IMPOSTOR,MEX,EMILIO FERNÁNDEZ,1956,
A-00152,PUEBLITO,MEX,EMILIO FERNÁNDEZ,1961,
A-00153,PALOMA HERIDA,MEX-GUA,EMILIO FERNÁNDEZ,1962,
A-00154,UN DORADO DE PANCHO VILLA,MEX,EMILIO FERNÁNDEZ,1966,
A-00155,EL CREPÚSCULO DE UN DIOS,MEX,EMILIO FERNÁNDEZ,1968,
A-00156,LA CHOCA,MEX,EMILIO FERNÁNDEZ,1973,
A-00157,ZONA ROJA,MEX,EMILIO FERNÁNDEZ,1975,
A-00158,MÉXICO NORTE,MEX,EMILIO FERNÁNDEZ,1977,
A-00159,LAS FUERZAS VIVAS,MEX,LUIS ALCORIZA,1975,
A-00160,CASCABEL,MEX,RAÚL ARAIZA,1976,
A-00161,EL DIABLO Y LA DAMA,MEX-FRA,ARIEL ZÚÑIGA,1983,
A-00162,CALZONZIN INSPECTOR,MEX,ALFONSO ARAU,1973,
A-00163,CUARTELAZO,MEX,ALBERTO ISAAC,1976,
A-00164,EL PRINCIPIO,MEX,GONZALO MARTÍNEZ ORTEGA,1972,
A-00165,XOXONTLA,MEX,ALBERTO MARISCAL,1976,
A-00166,MATEN AL LEÓN,MEX,JOSÉ ESTRADA,1975,
A-00167,LA PASIÓN SEGÚN BERENICE,MEX,JAIME HUMBERTO HERMOSILLO,1975,
A-00168,BALUN CANAN,MEX,BENITO ALAZRAKI,1976,
A-00169,RAPIÑA,MEX,CARLOS ENRIQUE TABOADA,1973,
A-00170,NAUFRAGIO,MEX,JAIME HUMBERTO HERMOSILLO,1977,
A-00171,EL JARDÍN DE LOS CEREZOS,MEX,GONZALO MARTÍNEZ ORTEGA,1977,
A-00172,EL VIAJE,MEX,JOMI GARCÍA ASCOT,1976,
A-00173,RAÍCES DE SANGRE,MEX,JESÚS SALVADOR TREVIÑO,1976,
A-00174,EL PROFETA MIMI,MEX,JOSÉ ESTRADA,1972,
A-00175,SAN JUAN DE DIOS ES JALISCO,MEX,JAIME FERNÁNDEZ,1982,
A-00176,EL NIETO DEL ZORRO,MEX,JAIME SALVADOR,1947,
A-00177,EL CRIMINAL,MEX,FERNANDO DURÁN,1982,
