N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-01991,QUINCEAÑERA,MEX,ALFREDO B. CREVENNA,1958,
A-01992,PARAÍSO ESCONDIDO,MEX,MAURICIO DE LA SERNA,1958,
A-01993,ESCUELA PARA SOLTERAS,MEX,MIGUEL ZACARÍAS,1964,
A-01994,TERROR EN LOS BARRIOS,MEX,JULIO ALDAMA,1983,
A-01995,EL TRIÁNGULO DEL CRIMEN,MEX,ÍCARO CISNEROS,1982,
A-01996,ASES DEL CONTRABANDO,MEX,FERNANDO DURÁN ROJAS,1985,
A-01997,POR UN VESTIDO DE NOVIA,MEX,ARTURO MARTÍNEZ,1983,
A-01998,HERMELINDA LINDA,MEX,JULIO ALDAMA,1984,
A-01999,EL BÁRBARO,MES-ITA-ESP,LUCIO FULCI,1983,
A-02000,EL AHORCADO,MEX,JUAN GALLARDO,1983,
A-02001,"ROSENDO FIERRO, EL CORREO DE VILLA",MEX,TITO NOVARO,1984,
A-02002,BARRIO SALVAJE,MEX,JUAN MANUEL SOLER,1985,
A-02003,LAS GRANDES FIESTAS DEL CENTENARIO,MEX,GERMÁN CAMUS,1921,
A-02004,EL GARAÑÓN,MEX,ALFREDO B. CREVENNA,1988,
A-02005,EL HACEDOR DEL MIEDO/THE FEAR MAKER,MEX-EUA,ANTHONY CARRAS,1969,
A-02006,CACERÍA DE TRAFICANTES (CONTACTO EN LOS ANGELES),MEX,JUAN MANUEL SOLER PALAVICINI,1985,
A-02007,"AMADO NERVO, SUS FUNERALES",MEX,GEO D. WRIGHT,1919,
A-02008,"TOÑA, NACIDA VIRGEN",MEX,ROGELIO A. GONZÁLEZ,1982,
A-02009,EL PUENTE,MEX,JOSÉ LUIS URQUIETA,1984,
A-02010,"ENTRE HIERBA, POLVO Y PLOMO",MEX,FERNANDO DURÁN ROJAS,1984,
A-02011,EL ESQUELETO DE LA SEÑORA MORALES,MEX,ROGELIO A. GONZÁLEZ,1959,
A-02012,JUAN PÉREZ JOLOTE,MEX,ARCHIBALDO BURNS,1973,
A-02013,EL MIL AMORES,MEX,ROGELIO A. GONZÁLEZ,1954,
A-02014,EL MOFLES Y LOS MECÁNICOS,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1985,
A-02015,ORINOCO,MEX,JULIÁN PASTOR,1984,
A-02016,EL AMANECER DEJÓ DE SER UNA TENTACIÓN,MEX,MIGUEL NECOECHEA,1979,
A-02017,LA SEGUA,MEX-CR,ANTONIO YGLESIAS,1984,
A-02018,EN EL CAMINO ANDAMOS,MEX,JULIO ALDAMA,1983,
A-02019,ANGEL RIVER,MEX-EUA,SERGIO OLHOVICH,1985,
A-02020,MÁS VALE PÁJARO EN MANO,MEX,JESÚS FRAGOSO MONTOYA,1985,
A-02021,EL SOCIO,MEX,ROBERTO GAVALDÓN,1945,
A-02022,NOCTURNO DE AMOR,MEX,EMILIO GÓMEZ MURIEL,1947,
A-02023,ANILLO DE COMPROMISO,MEX,EMILIO GÓMEZ MURIEL,1951,
A-02024,LA MONJA ALFÉREZ,MEX,EMILIO GÓMEZ MURIEL,1944,
A-02025,UN TOKE DE ROCK,MEX,SERGIO GARCÍA,1988,
A-02026,JARIPEOS EN LA PLAZA DE TOROS EL PROGRESO,MEX,MARÍA CANTONI,1921,
A-02027,MATAR O MORIR,MEX,RAFAEL VILLASEÑOR KURI,1984,
A-02028,EL JIBARITO RAFAEL ,MEX-PR,JULIÁN SOLER,1966,
A-02029,EL CARRO DE LA MUERTE,MEX,JESÚS MARIN BELLO,1984,
A-02030,REDONDO,MEX,RAÚL BUSTEROS,1984,
A-02031,VOLVERÉ,MEX,ÁNGEL FLORES MARINI/GUILLERMO LANSFORD,1982,
A-02032,VIENTO NEGRO,MEX,SERVANDO GONZÁLEZ,1964,
A-02033,EL GALLO DE ORO,MEX,ROBERTO GAVALDÓN,1964,
A-02034,EL AUTOMÓVIL GRIS,MEX,ENRIQUE ROSAS,1919,
A-02035,LA VENGANZA DEL ROJO/LA FUGA DEL ROJO II,MEX,ALFREDO GURROLA,1984,
A-02036,OBDULIA,MEX,ANTONIO DE LA RIVA,1985,
A-02037,ARIZONA ,MEX,FERNANDO DURÁN ROJAS,1985,
A-02038,ROSA DE LA FRONTERA,MEX,HERNANDO NAME,1985,
A-02039,LOS MECÁNICOS ARDIENTES,MEX,RAÚL RAMÍREZ,1985,
A-02040,EL PADRE JUAN,MEX,MARCELINO AUPART,1985,
A-02041,RATAS DE LA FRONTERA,MEX,ALFREDO GURROLA,1984,
A-02042,ROBACHICOS,MEX,ALBERTO BOJÓRQUEZ,1985,
A-02043,LA PERDICIÓN DE LOS HOMBRES,MEX-ESP,ARTURO RIPSTEIN,2000,
A-02044,PERROS SALVAJES,MEX,EDGARDO GAZCÓN DE ANDA,1985,
A-02045,MASACRE EN EL RÍO TULA,MEX,ISMAEL RODRÍGUEZ JR.,1985,
A-02046,SINVERGÜENZA PERO HONRADO,MEX,RAFAEL VILLASEÑOR KURI,1985,
A-02047,ME HE DE COMER ESA TUNA (1944),MEX,MIGUEL ZACARÍAS,1944,
A-02048,"AY, CHAPARROS... ¡CÓMO ABUNDAN!",MEX,ROLANDO AGUILAR,1955,
A-02049,AVENTURAS DE CHUCHO EL ROTO/EL BANDIDO GENEROSO,MEX,SANTIAGO J. SIERRA,1919,
A-02050,LAS MIL Y UNA NOCHES,MEX,FERNANDO CORTÉS,1957,
A-02051,SEMANA SANTA CORA,MEX,HÉCTOR GARCÍA,1971,
A-02052,CONTRATO CON LA MUERTE,MEX,ALFREDO GURROLA,1984,
A-02053,UN AMOR PERVERSO/LA MADRASTRA,MEX-ESP,ROBERTO GAVALDÓN,1974,
A-02054,GRINGO MOJADO/IN'N OUT,MEX-EUA,RICARDO FRANCO,1984,
A-02055,CUANDO CORRIÓ EL ALAZÁN,MEX,JUAN JOSÉ PEREZ PADILLA,1985,
A-02056,LUCHANDO POR EL PETRÓLEO,MEX,EZEQUIEL CARRASCO/PÉREZ ROJAS,1921,
A-02057,AMOR CIEGO,MEX-COL,GUSTAVO NIETO ROA,1980,
A-02058,JUANA LA CANTINERA,MEX,JOSÉ LOZA,1985,
A-02059,HALLAZGO SANGRIENTO,MEX,DAMIÁN ACOSTA,1984,
A-02060,EL GATO NEGRO,MEX,RAFAEL PÉREZ GROVAS,1984,
A-02061,BRACERAS Y MOJADOS,MEX,ALFREDO B. CREVENNA,1984,
A-02062,DE PURO RELAJO,MEX-PR,GUILLERMO ÁLVAREZ GUEDES,1978,
A-02063,JUNTOS,MEX,RAFAEL ROSALES DURÁN,1985,
A-02064,EL PADRE MORELOS,MEX,MIGUEL CONTRERAS TORRES,1942,
A-02065,EL RAYO DEL SUR,MEX,MIGUEL CONTRERAS TORRES,1943,
A-02066,EL BLOCK HOUSE DE ALTA LUZ,MEX,FERNANDO OROZCO Y BERRA,1919,
A-02067,LA VENGANZA DEL CHACAL,MEX,PEDRO GALINDO III,1984,
A-02068,JINETES DE LA LLANURA,MEX,ALBERTO MARISCAL,1964,
A-02069,SANTO CONTRA EL CEREBRO DIABÓLICO,MEX,FEDERICO CURIEL,1961,
A-02070,CUANDO LLORAN LOS VALIENTES,MEX,ISMAEL RODRÍGUEZ   ,1945,
A-02071,CAÑA BRAVA,MEX,RAMÓN PEREDA,1965,
A-02072,ALMA LLANERA,MEX,GILBERTO MARTÍNEZ SOLARES,1964,
A-02073,SEXO POR COMPASIÓN,MEX-ESP,LAURA MAÑA,2000,
A-02074,EL PELEADOR DEL BARRIO,MEX,GILBERTO MARTÍNEZ SOLARES,1980,
A-02075,LA REVANCHA,MEX,ALFREDO GURROLA,1985,
A-02076,EL COMBATE DE LAS FLORES,MEX,JESÚS H. ABITIA,1919,
A-02077,LOS MOTIVOS DE LUZ,MEX,FELIPE CAZALS,1985,
A-02078,ASTUCIA,MEX,MARIO HERNÁNDEZ,1985,
A-02079,HUELE A GAS,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1985,
A-02080,CACERÍA IMPLACABLE,MEX,ALFREDO B. CREVENNA,1985,
A-02081,COYOACAN,MEX,CLAUDIA MAGLI,1983,
A-02082,A MEDIA LUZ,MEX,ANTONIO MOMPLET,1946,
A-02083,MÚSICA EN LA NOCHE,MEX,TITO DAVISON,1955,
A-02084,DOS TIPOS DE CUIDADO,MEX,ISMAEL RODRÍGUEZ,1952,
A-02085,CAMINO DE GUANAJUATO,MEX,RAFAEL BALEDÓN,1955,
A-02086,SOR YE-YÉ,MEX-ESP,RAMON FERNÁNDEZ,1967,
A-02087,NOCHE DE CALIFAS,MEX,JOSE LUIS GARCÍA AGRAZ,1985,
A-02088,MI PISTOLA Y TUS ESPOSAS,MEX,RAFAEL PORTILLO,1985,
A-02089,EL ÚLTIMO DISPARO,MEX,TITO NOVARO,1985,
A-02090,LOS VERDULEROS,MEX,ADOLFO MARTÍNEZ SOLARES,1985,
A-02091,EL EMBUSTERO,MEX,RAFAEL VILLASEÑOR KURI,1983,
A-02092,MEXICAN OIL FIELDS,MEX,BURTON HOLMES,1921,
A-02093,TODOS ERAN VALIENTES,MEX,FERNANDO DURÁN ROJAS,1985,
A-02094,DOS PISTOLEROS VIOLENTOS,MEX,FRANCISCO GUERRERO,1985,
A-02095,PISTOLEROS FAMOSOS III,MEX,PEPE LOZA,1985,
A-02096,LA CALLE DE LOS AMORES,MEX,RAPHAEL J. SEVILLA,1954,
A-02097,"ZONGA, EL ANGEL DIABÓLICO",MEX,JUAN OROL,1957,
A-02098,QUE DIOS ME PERDONE,MEX,TITO DAVISON,1947,
A-02099,LA CÁRCEL DE LAREDO,MEX,RODOLFO DE ANDA,1983,
A-02100,A GARROTE LIMPIO,MEX,JULIO RUIZ LLANEZA,1985,
A-02101,LA QUIMERA DEL ORO NEGRO,MEX,PEDRO REYGADAS,1984,
A-02102,LA FUGA INDOMABLE,MEX,HUMBERTO MARTÍNEZ MIJARES,1982,
A-02103,ADMINISTRACIÓN MIGUEL ALEMÁN,MEX,DESCONOCIDO,1946-1952,
A-02104,JUAN PABLO II,MEX,BOSCO AROCHI/ÁNGEL FLORES,1979,
A-02105,EL PUERTO DE LOS SIETE VICIOS,MEX,EDUARDO UGARTE,1951,
A-02106,EL FRUTO DE LA REVOLUCIÓN,MEX,CRISTIAN GONZÁLEZ,1980,
A-02107,ALMA DE AMÉRICA,MEX,ALFONSO BUSTAMANTE MORENO,1941,
A-02108,ALMOLOYA DE JUÁREZ /CÁRCEL DE TOLUCA,MEX,JOSÉ BARBERENA,1972,
A-02109,EL BLUES,MEX,MARÍA ANTONIETA ALVAREZ,1981,
A-02110,DESEMPLEO,MEX,MARÍA ELENA VELASCO(CUEC),1978,
A-02111,EL EDÉN BAJO EL FUSIL,MEX,SALVADOR DÍAZ SANCHEZ/PEDRO REYGADAS,1982,
A-02112,EL DÍA DE LOS ALBAÑILES II,MEX,GILBERTO MARTÍNEZ SOLARES,1985,
A-02113,HISTORIAS DE VIDA,MEX,ADRIANA TORRES,1981,
A-02114,EL INFIERNO TAN TEMIDO,MEX,RAFAEL MONTERO,1975,
A-02115,EL HIJO DE LA CALAVERA,MEX,JUAN RODRÍGUEZ MAS,1984,
A-02116,TODO EN EL JUEGO,MEX,RUBÉN MOHENO VERDUZCO,1972,
A-02117,TODOS LOS ESPEJOS LLEVAN MI NOMBRE,MEX,RAMÓN CERVANTES,1980,
A-02118,EL REGRESO DEL CARRO ROJO,MEX,FERNANDO DURÁN ROJAS,1984,
A-02119,ORO ROJO,MEX-ESP,ALBERTO VÁZQUEZ-FIGUEROA,1978,
A-02120,VENENO PARA LAS HADAS,MEX,CARLOS ENRIQUE TABOADA,1984,
A-02121,DE TODAS TODAS,MEX,RAFAEL BALEDÓN,1985,
A-02122,LAS TAPATÍAS NUNCA PIERDEN,MEX,HUMBERTO GÓMEZ LANDERO,1964,
A-02123,LA MUERTE DE UN PISTOLERO,MEX,ÁNGEL  RODRÍGUEZ VÁZQUEZ,1987,
A-02124,HACER UN GUIÓN,MEX,DOROTEA GUERRA,1981,
A-02125,CLEMENCIA,MEX,CHANO URUETA,1934,
A-02126,CORAZONES EN DERROTA,MEX,RUBÉN C. NAVARRO,1933,
A-02127,CONFESIÓN TRÁGICA,MEX,CARLOS E. GONZÁLEZ,1919,
A-02128,BATACLÁN MEXICANO,MEX,RAÚL DE ANDA,1955,
A.02129,ÁNGEL DEL SILENCIO,MEX,GILBERTO MARTÍNEZ SOLARES,1978,
A-02130,LOS DOS CUATREROS,MEX,ALBERTO MARISCAL,1964,
A-02131,SOBRE EL MUERTO LAS CORONAS,MEX,JOSE DÍAZ MORALES,1959,
A-02132,SI QUIERO,MEX,RAÚL DE ANDA,1965,
A-02133,LOS SALVAJES,MEX,RAFAEL BALEDÓN,1957,
A-02134,MÁS FUERTE QUE EL AMOR,MEX-CUBA,TULIO DEMICHELI,1953,
A-02135,CASA DE CITAS,MEX,RAFAEL ROSALES DURÁN,1985,
A-02136,LA BANDA DE LOS PANCHITOS,MEX,ARTURO VELAZCO,1985,
A-02137,LA PANDILLA INFERNAL,MEX,ALFREDO GURROLA,1983,
A-02138,CALACAN,MEX,LUIS KELLY,1985,
A-02139,LA CASA QUE ARDE DE NOCHE,MEX,RENÉ CARDONA JR.,1985,
A-02140,INTRIGA CONTRA MÉXICO/NOS TRICIONARÁ EL PRESIDENTE?,MEX,FERNANDO PÉREZ GAVILÁN,1987,
A-02141,CRÓNICA DE FAMILIA,MEX,DIEGO LÓPEZ,1985,
A-02142,CHIDO GUAN,MEX,ALFONSO ARAU,1985,
A-02143,CHIQUIDRÁCULA,MEX,JULIO ALDAMA,1985,
A-02144,LA MUERTE LLORA DE RISA,MEX,JULIÁN ABITIA,1985,
A-02145,MÉXICO Y SU PETRÓLEO/MEXICO AND ITS OILS,MEX,BURTON HOLMES,1921,
A-02146,FORAJIDOS EN LA MIRA,MEX,ALBERTO MARISCAL,1985,
A-02147,ENEMIGOS A MUERTE,MEX,RUBÉN GALINDO JR.,1985,
A-02148,TRÁGICO TERREMOTO EN MÉXICO /FURIA TERRENAL,MEX,FRANCISCO GUERRERO,1987,
A-02149,AR-15 COMANDO IMPLACABLE,MEX,ALEJANDRO TODD,1988,
A-02150,GOLONDRINA PRESUMIDA,MEX,ERIC DEL CASTILLO,1985,
A-02151,LECUMBERRI (PALACIO NEGRO),MEX,ARTURO RIPSTEIN,1976,
A-02152,LAS MUJERES DE MI GENERAL,MEX,ISMAEL RODRÍGUEZ,1950,
A-02153,EL IMPERIO DE LA FORTUNA,MEX,ARTURO RIPSTEIN,1986,
A-02154,EL JUDICIAL II,MEX,RAFAEL VILLASEÑOR KURI,1985,
A-02155,LÁZARO CÁRDENAS,MEX,ALEJANDRO GALINDO,1985,
A-02156,CONMEMORACIÓN DEL 4 DE JULIO,MEX,CARLOS E. GONZÁLEZ,1919,
A-02157,UN SÁBADO MÁS,MEX,SERGIO VÉJAR,1985,
A-02158,COSECHAS DE ALGODÓN EN LA LAGUNA,MEX,CARLOS E. GONZÁLEZ,1919,
A-02159,MI FANTASMA Y YO,MEX,GILBERTO DE ANDA,1985,
A-02160,MI NOMBRE ES GATILLO,MEX,PEDRO GALINDO III,1985,
A-02161,MI QUERIDA VECINDAD,MEX,RAÚL RAMIREZ,1985,
A-02162,MOTÍN EN LA CÁRCEL,MEX,RODOLFO DE ANDA,1985,
A-02163,LA MUERTE DEL FEDERAL DE CAMINOS,MEX,ALFREDO B. CREVENNA,1985,
A-02164,NARCOTERROR,MEX,RUBÉN GALINDO   ,1985,
A-02165,LA PULQUERÍA ATACA DE NUEVO,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1985,
A-02166,"MÉXICO, MÉXICO",MEX-FRA,FRANCOIS REINCHENBACH,1967,
A-02167,EL REY DEL MASAJE,MEX,DAMIÁN ACOSTA,1985,
A-02168,LA RULETERA,MEX,"VÍCTOR MANUEL CASTRO ""GÜERO""",1985,
A-02169,EL SECUESTRO DE LOLA ,MEX,RAÚL FERNÁNDEZ,1985,
A-02170,LAS TRAIGO MUERTAS,MEX,RAFAEL BALEDÓN,1985,
A-02171,EL CULTIVO DEL HENEQUEN,MEX,CARLOS E. GONZÁLEZ,1919,
A-02172,VIAJE AL PARAÍSO,MEX,IGNACIO RETES,1985,
A-02173,EL ADUANAL,MEX,JULIO ALDAMA,1985,
A-02174,QUE ME MATEN DE UNA VEZ,MEX,ÓSCAR BLANCARTE,1985,
A-02175,NARCOTRÁFICO,MEX,RAÚL DE ANDA JR.,1985,
A-02176,UN CANTO DE ESPERANZA (ESTOY SENTENCIADO A MUERTE),MEX,FERNANDO DURÁN ROJAS,1985,
A-02177,OPERACIÓN MARIHUANA,MEX,JOSE LUIS URQUIETA,1985,
A-02178,EL HIJO DE PEDRO NAVAJA,MEX,ALFONSO ROSAS PRIEGO,1985,
A-02179,UNA JOVEN DE 16 AÑOS,MEX,GILBERTO MARTÍNEZ SOLARES,1962,
A-02180,MI VIDA ES UNA CANCIÓN,MEX,MIGUEL M. DELGADO,1962,
A-02181,ME QUIERO CASAR,MEX,JULIÁN SOLER,1966,
A-02182,TERESA,MEX,ALFREDO B. CREVENNA,1960,
A-02183,VEN A CANTAR CONMIGO,MEX,ALFREDO ZACARÍAS,1966,
A.02184,PERDÓNAME MI VIDA,MEX,MIGUEL M. DELGADO,1964,
A-02185,JUAN SIN MIEDO,MEX,GILBERTO GAZCÓN,1960,
A-02186,UNA PASIÓN ME DOMINA,MEX,HUMBERTO GÓMEZ LANDERO,1959,
A-02187,PISTOLAS INVENCIBLES,MEX,BENITO ALAZRAKI,1959,
A-02188,LA RISA DE LA CIUDAD,MEX,GILBERTO GAZCÓN,1962,
A-02189,LOS REYES DEL VOLANTE,MEX,MIGUEL MORAYTA,1964,
A-02190,EL CONDE FRANKENHAUSEN,MEX,MIGUEL MORAYTA,1962,
A-02191,LA MANO DE DIOS,MEX,JAIME SALVADOR,1965,
A-02192,DOS MESEROS MAJADEROS,MEX,GILBERTO MARTÍNEZ SOLARES,1965,
A-02193,LOS SÁNCHEZ DEBEN MORIR,MEX,MIGUEL M. DELGADO,1965,
A-02194,JUAN GUERRERO,MEX,MIGUEL MORAYTA,1963,
A-02195,ME LLAMAN EL CANTACLARO,MEX,JAIME SALVADOR,1964,
A-02196,INFIERNO DE ALMAS,MEX,BENITO ALAZRAKI,1958,
A-02197,DON JUAN MANUEL ,MEX,ENRIQUE CASTILLA,1919,
A-02198,EL DENGUE DEL AMOR,MEX,ROBERTO RODRÍGUEZ,1965,
A-02199,MÉXICO CONTRA ESTADOS UNIDOS,MEX,HUMBERTO MARTÍNEZ MIJARES,1985,
A-02200,LÁGRIMAS ROBADAS,MEX,JULIÁN SOLER,1953,
A-02201,MÁS LOCOS QUE UNA CABRA/LA CHÉVRE,MEX-FRA,FRANCIS VEBER,1981,
A-02202,PIQUETE QUE VA DERECHO,MEX,ARTURO MARTÍNEZ,1987,
A-02203,CAMINO AL INFIERNO,MEX,JOSÉ LUIS URQUIETA,1986,
A-02204,TESTIMONIOS ZAPATISTAS,MEX,ADOLFO GARCÍA VIDELA,1981,
A-02205,TRAS EL HORIZONTE,MEX,MITL VALDÉZ,1984,
A-02206,UNA LARGA EXPERIENCIA,MEX,SERGIO GARCÍA,1982,
A-02207,CAMELIA,MEX,ROBERTO GAVALDÓN,1953,
A-02208,LA ESCONDIDA,MEX,ROBERTO GAVALDÓN,1955,
A-02209,CANASTA DE CUENTOS MEXICANOS,MEX,JULIO BRACHO,1956,
A-02210,FLOR DE MAYO,MEX,ROBERTO GAVALDÓN,1957,
A-02211,CAFÉ COLÓN,MEX,BENITO ALAZRAKI,1958,
A-02212,LOS AMBICIOSOS /LA FIEVRE MONTE A EL PAO,MEX-FRA,LUIS BUÑUEL,1959,
A-02213,AMOR Y SEXO (SAFO 63),MEX,LUIS ALCORIZA,1963,
A-02214,LA VALENTINA,MEX,ROGELIO A. GONZÁLEZ,1965,
A-02215,SI YO FUERA MILLONARIO,MEX,JULIÁN SOLER,1962,
A-02216,SONATAS,MEX-ESP,JUAN ANTONIO BARDEM,1959,
A-02217,DIAS DE OTOÑO,MEX,ROBERTO GAVALDÓN,1962,
A-02218, MUJERES SALVAJES ,MEX,GABRIEL RETES,1984,
A-02219,LA MUJER DE TODOS,MEX,JULIO BRACHO,1946,
A-02220,VÉRTIGO,MEX,ANTONIO MOMPLET,1945,
A-02221,EL MONJE BLANCO,MEX,JULIO BRACHO,1945,
A-02222,MARIA EUGENIA,MEX,FELIPE GREGORIO CASTILLO,1942,
A-02223,EL PEÑÓN DE LAS ÁNIMAS,MEX,MIGUEL ZACARÍAS,1942,
A-02224,POLICIA JUDICIAL FEDERAL,MEX,GILBERTO DE ANDA,1985,
A-02225,SOLICITO MARIDO PARA ENGAÑAR,MEX,ISMAEL RODRÍGUEZ,1987,
A-02226,LOS HIJOS QUE YO SOÑÉ,MEX,ROBERTO GAVALDÓN,1964,
A-02227,MACARIO,MEX,ROBERTO GAVALDÓN,1959,
A-02228,EL SIETE DE COPAS,MEX,ROBERTO GAVALDÓN,1960,
A-02229,DOS CORAZONES ,MEX,FRANCISCO DE LAVILLETE,1919,
A-02230,DE CARNE SOMOS,MEX,ROBERTO GAVALDÓN,1954,
A-02231,DESPUÉS DE LA TORMENTA,MEX,ROBERTO GAVALDÓN,1955,
A-02232,HISTORIA DE UN AMOR,MEX,ROBERTO GAVALDÓN,1955,
A-02233,EL NIÑO Y LA NIEBLA,MEX,ROBERTO GAVALDÓN,1953,
A-02234,LAS TRES PERFECTAS CASADAS,MEX,ROBERTO GAVALDÓN,1952,
A-02235,DESEADA,MEX,ROBERTO GAVALDÓN,1950,
A-02236,EN LA PALMA DE TU MANO,MEX,ROBERTO GAVALDÓN,1950,
A-02237,PISTOLERO A SUELDO,MEX,HERNANDO NAME,1992,
A-02238,LA NOCHE AVANZA,MEX,ROBERTO GAVALDÓN,1951,
A-02239,ACUÉRDATE DE VIVIR,MEX,ROBERTO GAVALDÓN,1952,
A-02240,"AMOR, AMOR, AMOR/ LOS BIENAMADOS",MEX,JUAN JOSÉ GURROLA/JUAN IBÁÑEZ/JOSÉ LUIS IBÁÑEZ/MIGUEL BARBACHANO PONCE/HÉCTOR MENDOZA,1965,
A-02241,HAN MATADO A TONGOLELE,MEX,ROBERTO GAVALDÓN,1948,
A-02242,A LA SOMBRA DEL PUENTE,MEX,ROBERTO GAVALDÓN,1946,
A-02243,CORAZONES DE MEXICO,MEX,ROBERTO GAVALDÓN,1945,
A-02244,RAYANDO EL SOL,MEX,ROBERTO GAVALDÓN,1945,
A-02245,EL CHARRO DE LAS CALAVERAS,MEX,ALFREDO SALAZAR,1965,
A-02246,LOS PIRATAS,MEX,GABRIEL RETES,1983,
A-02247,FIEBRE DE AMOR,MEX,RENÉ CARDONA JR.,1984,
A-02248,BORDANDO LA FRONTERA,MEX,ÁNGELES NECOECHEA,1986,
A-02249,LA CANCIÓN DEL ALMA,MEX,TITO DAVISON,1963,
A-02250,CANTACLARO,MEX,JULIO BRACHO,1945,
A-02251,DON JUAN 67,MEX,CARLOS VELO,1966,
A-02252,MOJADOS DE CORAZÓN,MEX,MIGUEL RICO,1986,
A-02253,ALLÁ EN EL RANCHO DE LAS FLORES,MEX,JAIME FERNÁNDEZ,1983,
A-02254,REMOLINO,MEX,GILBERTO GAZCÓN,1959,
A-02255,JOSELITO VAGABUNDO,MEX-ESP,MIGUEL MORAYTA,1965,
A-02256,MARAVILLA DEL TOREO,MEX,RAPHAEL J. SEVILLA,1942,
A-02257,EL ÍDOLO DE LOS ORÍGENES,MEX,ENRIQUE CARREÓN,1967,
A-02258,DOS DIABLILLOS EN APUROS,MEX,JOSELITO RODRÍGUEZ,1955,
A-02259,CHICAS CASADERAS,MEX,ALFREDO B. CREVENNA,1959,
A-02260,JUVENTUD SIN LEY,MEX,GILBERTO MARTÍNEZ SOLARES,1965,
A-02261,AVENTURA EN RÍO,MEX,ALBERTO GOUT,1952,
A-02262,CONTRABANDO Y MUERTE,MEX,MARIO HERNÁNDEZ,1983,
A-02263,NACIDA PARA AMAR,MEX,ROGELIO A. GONZÁLEZ,1958,
A-02264,EL TRES DE COPAS,MEX,FELIPE CAZALS,1986,
A-02265,LOS AMIGOS MARAVILLA,MEX,RAMÓN PEÓN,1960,
A-02266,"AY, JALISCO, NO TE RAJES!  (PRIMERA VERSIÓN)",MEX,JOSELITO RODRÍGUEZ,1941,
A-02267,VÍCTIMAS DE LA POBREZA,MEX,FRANCISCO GUERRERO,1986,
A-02268,EL CARTERO ALBURERO,MEX,MIGUEL ÁNGEL LIRA,1989,
A-02269,CHIQUITA PERO PICOSA,MEX,JULIÁN PASTOR,1986,
A-02270,EL SEÑOR DOCTOR,MEX,MIGUEL M. DELGADO,1965,
A-02271,HERENCIA DE VALIENTES,MEX,FERNANDO DURÁN ROJAS,1986,
A-02272,ESCAPE SANGRIENTO,MEX,ALFREDO GURROLA,1986,
A-02273,NOCTURNO AMOR QUE TE VAS,MEX,MARCELA FERNÁNDEZ VIOLANTE,1987,
A-02274,LA MUJER POLICÍA,MEX,JESÚS FRAGOSO MONTOYA,1986,
A-02275,CINCO POLLAS EN PELIGRO,MEX,ÁNGEL RODRÍGUEZ VÁZQUEZ,1986,
A-02276,DE MUJER A MUJER,MEX-COL-VEN,MAURICIO WALERSTEIN,1986,
A-02277,"MARIANA, MARIANA",MEX,ALBERTO ISAAC,1986,
A-02278,INTRÉPIDOS PUNKS,MEX,FRANCISCO GUERRERO,1986,
A-02279,CUANDO LA NIEBLA LEVANTE,MEX,FEDERICO WEINGARTSHOFER,1980,
A-02280,UNA MAYORDOMÍA,MEX,JUAN CARLOS COLÍN,1980,
A-02281,SEMANA SANTA EN NANACATLAN/TOTONACAPAN II,MEX,JAIME RIESTRA,1980,
A-02282,A LA MISMA HORA,MEX,TERESA MENDICUTI,1986,
A-02283,SOBRE LAS OLAS,MEX,MIGUEL ZACARÍAS / RAPHAEL J. SEVILLA,1932,
A-02284,LA LLORONA,MEX,RAMÓN PEÓN,1933,
A-02285,NO TE ENGAÑES CORAZÓN,MEX,MIGUEL CONTRERAS TORRES,1936,
A-02286,MIGUEL STROGOFF,MEX,MIGUEL M. DELGADO,1943,
A-02287,EL BARCHANTE NEGUIB,MEX,JOAQUÍN PARDAVÉ,1945,
A-02288,LOS TRES GARCÍA,MEX,ISMAEL RODRÍGUEZ,1946,
A-02289,BEL AMI,MEX,ANTONIO MOMPLET,1946,
A-02290,EL AHIJADO DE LA MUERTE,MEX,NORMAN FOSTER,1946,
A-02291,LA BIEN PAGADA,MEX,ALBERTO GOUT,1947,
A-02292,ÁNGELES DEL ARRABAL,MEX,RAÚL DE ANDA,1949,
A-02293,JUAN POLAINAS,MEX,JAVIER DURÁN,1987,
A-02294,"ESE LOCO, LOCO HOSPITAL",MEX,JULIO RUIZ LLANEZA,1986,
A-02295,CUERNAVACA EN PRIMAVERA,MEX,JULIO BRACHO,1965,
A-02296,"AY, JALISCO, NO TE RAJES! (SEGUNDA VERSIÓN)",MEX,MIGUEL MORAYTA,1964,
A-02297,CUENTAN DE UNA MUJER,MEX,JUAN JOSÉ ORTEGA,1958,
A-02298,EL TRAILER ASESINO,MEX,ALFREDO GURROLA,1985,
A-02299,MAX DOMINO,MEX,GERARDO PARDO,1979,
A-02300,ENTRE PARÉNTESIS,MEX,GUSTAVO MONTIEL PAGÉS,1981,
A-02301,LOS HIJOS DEL DIABLO,MEX,JULIO ALDAMA,1984,
A-02302,MACHOS Y HEMBRAS,MEX,JULIÁN PASTOR,1992,
A-02303,CINCO NACOS ASALTAN LAS VEGAS,MEX,ALFREDO B. CREVENNA,1986,
