titleId,title,averageRating,numVotes
tt0019288,El Sexo Fuerte,6.4,41.0
tt0019403,Sal para Svanetia,7.5,820.0
tt0019429,El ángel de la calle,7.3,2437.0
tt0019735,Su gran aventura,6.3,1133.0
tt0019821,Dios y ley,0.0,
tt0019823,Disraeli,6.1,1273.0
tt0019824,La divina amante,6.2,835.0
tt0019838,Pescadores a la deriva,6.6,446.0
tt0019892,El Vertigo de la Vida,7.0,19.0
tt0020074,Canción de amor,6.8,119.0
tt0020112,El desfile del amor,7.0,2447.0
tt0020389,El sexto sentido,6.9,106.0
tt0020496,Tres fantasmas vivientes,6.4,26.0
tt0020510,Tôkyô kôshinkyoku,6.6,322.0
tt0020530,Un perro andaluz,7.7,51289.0
tt0020563,Días de juventud,6.4,575.0
tt0020595,La canción del lobo,6.5,127.0
tt0020629,Sin novedad en el frente,8.1,64533.0
tt0020663,La mala,6.6,37.0
tt0020691,La gran jornada,7.1,4023.0
tt0020697,El ángel azul,7.7,15526.0
tt0020815,El escuadrón de la muerte,7.1,1908.0
tt0020960,Ángeles infernales,7.3,5594.0
tt0020997,La casa de la Troya,5.2,97.0
tt0021040,Mujeres de lujo,6.7,1286.0
tt0021149,La bestia del mar,5.6,563.0
tt0021156,Marruecos,7.0,7051.0
tt0021223,Novias modernas,6.1,841.0
tt0021232,Galas de la Paramount,5.8,336.0
tt0021276,Ceguera de vanidad,5.5,171.0
tt0021279,Par de seises,6.1,129.0
tt0021283,"He reprobado, pero...",6.3,501.0
tt0021334,Tonto de capirote,5.9,107.0
tt0021481,Tôjin Okichi,5.9,74.0
tt0021546,Las fantasmas,6.9,147.0
tt0021568,Jóvenes de Nueva York,6.1,197.0
tt0021577,La edad de oro,7.2,14254.0
tt0021632,Apartamento de Soltero,6.2,409.0
tt0021635,Todo por las noticias,6.5,1449.0
tt0021646,Las penas del amor,7.4,1845.0
tt0021663,Una mudanza complicada,6.1,158.0
tt0021730,El campeón,7.3,3331.0
tt0021749,Luces de la ciudad,8.5,186872.0
tt0021750,City Streets,7.0,1731.0
tt0021786,El nuevo día,6.0,197.0
tt0021814,Drácula,7.4,54501.0
tt0021820,La marca del terror,5.6,309.0
tt0021884,Frankenstein,7.8,74943.0
tt0021885,Un alma libre,6.6,2739.0
tt0021992,Lo ilícito,6.1,1066.0
tt0022028,El rey de la selva,6.1,122.0
tt0022100,M el Maldito,8.3,160151.0
tt0022100,El vampiro de Düsseldorf,8.3,160151.0
tt0022100,M,8.3,160151.0
tt0022139,Hombres con alas,6.3,174.0
tt0022153,Milagro de amor,7.2,2133.0
tt0022158,Los rompecabezas,7.4,13820.0
tt0022180,La escuadra suicida,5.6,250.0
tt0022251,Haciendo de las suyas,6.8,2661.0
tt0022251,Los presidiarios,6.8,2661.0
tt0022276,Amor en venta,6.9,2158.0
tt0022286,El enemigo público,7.6,21778.0
tt0022321,En pos del amor,6.4,372.0
tt0022339,Santa,6.8,239.0
tt0022357,Los seis misteriosos,6.3,916.0
tt0022383,El lobo ataca,4.3,46.0
tt0022405,"Sonríe, sonríe",5.6,662.0
tt0022412,El hijo de la India,6.0,204.0
tt0022436,Escenas callejeras,7.6,1862.0
tt0022485,El coro de Tokio,7.2,1455.0
tt0022523,El antro del mal,5.9,272.0
tt0022531,El último de los mohicanos,6.7,90.0
tt0022581,El Jinete Negro,5.3,23.0
tt0022621,Almas encontradas,0.0,
tt0022628,Hombre y mujer,6.4,1204.0
tt0022633,El anónimo,0.0,
tt0022641,Como tu me deseas,6.3,728.0
tt0022689,El ave del paraíso,6.0,1431.0
tt0022698,La venus rubia,7.1,5253.0
tt0022718,Boudu sauvé des eaux,7.3,5931.0
tt0022737,Salvaje,7.0,833.0
tt0022756,¡Que viva Mexico!,0.0,
tt0022814,El loco del submarino,6.3,690.0
tt0022822,Conducta desordenada,6.8,37.0
tt0022827,El doctor X,6.4,3699.0
tt0022835,El hombre y el monstruo,7.6,14496.0
tt0022854,Los ingratos,7.0,1025.0
tt0022862,El espectador impertinente,0.0,
tt0022867,Extasis,6.6,2599.0
tt0022879,Adiós a las armas,6.4,6380.0
tt0022905,Amor prohibido,6.9,1534.0
tt0022913,Fenómenos,7.8,47823.0
tt0022958,Grand Hotel,7.3,19897.0
tt0023027,Cuatro del mismo palo,7.5,12934.0
tt0023028,Sábado de juerga,6.6,1240.0
tt0023034,Juventud triunfante,5.7,236.0
tt0023037,Tierra sin pan,7.3,5977.0
tt0023038,El tren arrollador,5.3,632.0
tt0023074,El ladrón galante,7.2,2254.0
tt0023088,Torero a la fuerza,6.5,570.0
tt0023194,La máscara de Fu-Manchú,6.2,3550.0
tt0023213,Contentos vamos al infierno,6.9,1684.0
tt0023236,El monstruo asesino,4.1,1009.0
tt0023245,La momia,7.0,28018.0
tt0023293,La casa lúgubre,7.0,11582.0
tt0023312,El abuelo de la criatura,7.2,2491.0
tt0023326,Justicia divina,6.8,740.0
tt0023369,Amor profano,6.9,2835.0
tt0023382,Tierra de pasión,7.2,4577.0
tt0023385,La pelirroja,7.0,3318.0
tt0023391,Revolución,3.4,18.0
tt0023394,Los ricos están con nosotros,6.2,1121.0
tt0023410,El rey de los condenados,6.6,530.0
tt0023427,Caracortada,7.7,28788.0
tt0023479,Pecadores sin careta,6.0,330.0
tt0023488,El amor no muere,6.9,1415.0
tt0023491,Alma de sacrificio,6.8,1694.0
tt0023495,Canción del oriente,5.6,177.0
tt0023528,El misterio de la noche,5.0,239.0
tt0023551,Tarzán,7.0,7778.0
tt0023578,Their First Mistake,7.2,1521.0
tt0023583,El trece fatídico,5.7,825.0
tt0023584,Esta es la noche,6.6,777.0
tt0023622,Un ladrón en la alcoba,8.0,15222.0
tt0023622,Escándalo en el paraíso,8.0,15222.0
tt0023634,"Nací, pero...",7.9,5799.0
tt0023649,Vampyr,7.4,19096.0
tt0023700,El beso redentor,6.6,176.0
tt0023707,Amores clandestinos,6.5,33.0
tt0023742,La espía del Zar,6.1,374.0
tt0023753,Alicia en el país de las hadas,6.3,2384.0
tt0023778,Una noche en El Cairo,5.9,626.0
tt0023778,El árabe,5.9,626.0
tt0023814,La amargura del general Yen,6.9,4052.0
tt0023825,Polvorilla,7.1,2916.0
tt0023856,Los desaparecidos,6.5,1319.0
tt0023864,La calandria,0.0,
tt0023880,Abismo,6.0,641.0
tt0023891,Hacia las alturas,6.3,1509.0
tt0023891,Hacia lo eterno,6.3,1509.0
tt0023902,El compadre Mendoza,7.6,567.0
tt0023911,El abogado,7.6,1331.0
tt0023937,Capricho pasajero,7.2,1371.0
tt0023943,Fra Diavolo,7.1,2002.0
tt0023945,Puertas diabólicas,6.0,161.0
tt0023969,Héroes de ocasión,7.8,60926.0
tt0023969,Sopa de pato,7.8,60926.0
tt0023973,El águila y el halcón,7.1,1266.0
tt0023979,Eisenstein in Mexico,6.0,50.0
tt0023992,Siempre en mi corazón,6.7,748.0
tt0023993,Amor libre,6.4,1590.0
tt0024025,Volando a Río,6.6,3822.0
tt0024028,Las deliciosas,7.5,5710.0
tt0024034,La calle 42,7.3,12390.0
tt0024048,Casino del mar,6.1,251.0
tt0024069,Las insaciables,7.7,8584.0
tt0024151,A la sombra de los muelles,6.2,645.0
tt0024160,Carne roja,6.0,418.0
tt0024161,Yo he sido espía,6.7,208.0
tt0024166,No soy un ángel,6.9,3680.0
tt0024175,In fraganti,0.0,
tt0024184,El hombre invisible,7.6,36978.0
tt0024216,King Kong,7.9,87121.0
tt0024238,Presidiarias,6.6,1712.0
tt0024245,Sensationer i Mexico,5.2,109.0
tt0024264,Las cuatro hermanitas,7.2,7431.0
tt0024266,La llorona,5.7,281.0
tt0024308,Mascarada,6.4,209.0
tt0024353,Mañana de gloria,6.4,3088.0
tt0024381,Esposa de un piloto,6.2,899.0
tt0024381,Vuelo nocturno,6.2,899.0
tt0024421,Lodo y armiño,6.2,819.0
tt0024426,El diablo del paracaídas,6.4,1187.0
tt0024470,El prisionero trece,7.2,170.0
tt0024470,El prisionero 13,7.2,170.0
tt0024473,La vida privada de Enrique VIII,7.0,4525.0
tt0024481,La reina Cristina,7.5,8139.0
tt0024484,Cuarto para dos,6.6,851.0
tt0024548,Nació para pecar,6.3,6415.0
tt0024593,El hijo de Kong,5.6,4911.0
tt0024601,Hijos del desierto,7.5,9160.0
tt0024663,El círculo del diablo,5.3,466.0
tt0024668,Thunder Over Mexico,7.0,147.0
tt0024671,El tigre de Yautepec,6.5,19.0
tt0024727,El vampiro acecha,5.7,2772.0
tt0024760,Prisionera de la selva,0.0,
